Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN","Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",Redevelopement of Friendship Park at Civil township Civiltownship under RMC Rourkela,Works,Please refer Tender documents. ,NA ,"20,14,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,07-Feb-2026 06:00 PM,17-Feb-2026 11:00 AM,07-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,"20,140",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,Rourkela Municipal Corporation,MC/RMC/08/2026,2026_RMC_125706_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,Finance,EMD refund,Birendra Nanda,25-Mar-2026 12:27 PM,finance_580119.pdf,BOQ Comparative Chart,1,3399303,ANITA SETHI,16-Feb-2026 04:25 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,25-Mar-2026 12:58 PM,techsummary_580119.pdf (4130.57 KB),11-May-2026,"INR 2,014,291.45",60.0,Manas Biswal,11-May-2026 12:05 PM,BID08.pdf (4131.00 KB),Awarded to Sushil Kumar Singh,1.0,3395653.0,SUSHIL KUMAR SINGH,INR,"2,014,291.45",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,11-May-2026 11:36 AM,finsummary_580119.pdf (4130.56 KB),Rourkela Municipal Corporation,2026_RMC_125706_2,MC/RMC/08/2026,Redevelopement of Friendship Park at Civil township Civiltownship under RMC Rourkela,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,3398866,BABULA NAYAK,16-Feb-2026 02:54 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3395618,BABULI CHANDRA PAIKARAY,14-Feb-2026 12:09 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3395976,BHOLA NATH ROUT,14-Feb-2026 05:01 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3393117,BRAJA MOHAN BEURA,12-Feb-2026 03:27 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3396982,CHAKRA TANTY,15-Feb-2026 07:40 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3398895,DEBENDRA KUMAR JENA,16-Feb-2026 03:03 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3398970,Guruji Infrastructure Pvt. Ltd.,16-Feb-2026 04:04 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,25-Mar-2026 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3394892,HEMA MINZ,13-Feb-2026 01:40 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3398631,KESHAB CHANDRA JENA,16-Feb-2026 02:09 PM,Rejected-Technical,By The Tender Committee,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
