S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"4,530",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS",07-Mar-2026 02:30 PM,13-Mar-2026 11:30 AM,07-Mar-2026 02:30 PM,13-Mar-2026 11:00 AM,07-Mar-2026 02:30 PM ,12-Mar-2026 11:00 AM ,07-Mar-2026 02:30 PM,13-Mar-2026 11:00 AM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-20-2025-26,2026_CERWI_126978_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,"SR to SB over Satabahani Nallah at 13th km on Titilagarh Muribahal road such as Painting of Bridge Repair of Approach, Fix of Guard stone ,Board under Titilagarh Block for the year 2025-26","SR to SB over Satabahani Nallah at 13th km on Titilagarh Muribahal road such as Painting of Bridge Repair of Approach, Fix of Guard stone ,Board under Titilagarh Block for the year 2025-26",PLEASE REFER TENDER DOCUMENTS ,NA ,"4,52,691",Civil Works - Roads,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,AOC,1,3427966,ABHISHEK SARAF,12-Mar-2026 10:09 AM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,06-May-2026,"INR 452,238",180.0,Rajendra Majhi,06-May-2026 09:28 AM,1.pdf (218.00 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,29-Apr-2026 08:24 PM,techsummary_584328.pdf (496.47 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMAOTR,Rajendra Majhi,06-May-2026 09:25 AM,finsummary_584328.pdf (217.88 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_126978_5,EETIG-ONLINE-20-2025-26,"SR to SB over Satabahani Nallah at 13th km on Titilagarh Muribahal road such as Painting of Bridge Repair of Approach, Fix of Guard stone ,Board under Titilagarh Block for the year 2025-26",1.0,3428225.0,HEMAKANTI BEHERA,INR,"452,238",Finance,34NOS BIDDERS,Anupama Bishi,15-Mar-2026 10:58 AM,finance_584328.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,"LABOUR LICENSE,NO RELATION CERTIFICATE AND OTHER RELATED DOCUMENTS AS PER DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3429055,ADHYAN INFRA,12-Mar-2026 08:02 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3428179,Amit Agrawal,12-Mar-2026 08:47 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3423199,ARYA INFRASTRCTURE,08-Mar-2026 01:33 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3429144,BASANT KUMAR JAIN,12-Mar-2026 09:25 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3429181,DIBYA RANJAN SETH,12-Mar-2026 10:07 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3426662,DUSILA SAHU,11-Mar-2026 08:20 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3427556,GHASIRAM JAINI,11-Mar-2026 05:23 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3428225,HEMAKANTI BEHERA,12-Mar-2026 11:54 AM,Accepted-AOC,AOC,06-May-2026 09:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3426957,JITA BEHERA,11-Mar-2026 08:13 PM,Rejected-Finance,NOT WINE THE LOTTERY,06-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
