Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of 4 Nos.(G plus 1) D-Type Staff Quarters of Revenue Department in the District of Dhenkanal,Construction of 4 Nos.(G plus 1) D-Type Staff Quarters of Revenue Department in the District of Dhenkanal,Please refer tender documents  ,NA ,"1,59,75,857",Civil Works - Buildings,NA ,Tender,90.0,210.0,Dhenkanal,759001.0,NA ,NA ,NA ,CCE Dhenkanal R and B Circle,No ,No,"1,59,000",Yes,fixed,,Nil,Nil,29-Dec-2025 04:00 PM,13-Jan-2026 11:00 AM,29-Dec-2025 04:00 PM,12-Jan-2026 05:00 PM,NA ,NA ,29-Dec-2025 04:00 PM,12-Jan-2026 05:00 PM,31-Jan-2026 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, EMD, PAN, Valid RC",CCE Dhenkanal R and B Circle,CCE Dhenkanal R and B Circle,"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,CCE DKL R and B/13-2025-26,2025_EICCL_123921_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,3351323,ABHISHEK SAMANTA,12-Jan-2026 11:58 AM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,12-May-2026,"INR 13,581,076",210.0,Purna Chandra Dalai,12-May-2026 09:58 PM,4nos_Dtype.pdf (738.00 KB),Agreement on dt. 08.04.2026,CCE Dhenkanal (R and B) Circle,Internal,SE DAO Estimator Division PA to CCE Estimators Circle,Purna Chandra Dalai,29-Jan-2026 09:58 PM,31-Jan-2026 11:00 AM,techsummary_573576.pdf (3368.90 KB),Finance,Opened,Purna Chandra Dalai,31-Jan-2026 12:13 PM,finance_573576.pdf,BOQ Comparative Chart,Technical,Opened,Purna Chandra Dalai,13-Jan-2026 09:11 PM,technical_573576.pdf,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,2025_EICCL_123921_1,CCE DKL R and B/13-2025-26,Construction of 4 Nos.(G plus 1) D-Type Staff Quarters of Revenue Department in the District of Dhenkanal,CCE Dhenkanal (R and B) Circle,Internal,SE DAO Estimator of Division PA to CCe Estimators of Circle,Purna Chandra Dalai,12-May-2026 09:43 PM,finsummary_573576.pdf (158.05 KB),1.0,3351521.0,LALIT NARAYAN LENKA,INR,"13,581,076",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,AOC,2,3351210,Alekha Kumar Mohapatra,12-Jan-2026 10:47 AM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,AOC,3,3350618,Anshuman Swain,10-Jan-2026 08:25 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3348201,Ashok Kumar Guru,07-Jan-2026 08:14 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3351888,Bhagaban Nath,12-Jan-2026 04:00 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3350377,CHITTA RANJAN BEHERA,10-Jan-2026 01:27 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3350929,CHITTA RANJAN SWAIN,11-Jan-2026 11:53 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3351528,DEEPAK PRASAD JENA,12-Jan-2026 01:23 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3351076,GYAN RANJAN SWAIN,11-Jan-2026 10:05 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3351398,HARISANKAR SAHOO,12-Jan-2026 12:38 PM,Rejected-AOC,Unsuccessful in transparent lottery,12-May-2026 09:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
