Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",1.0,Extension of date,Date,,"4,600",Yes,fixed,,Nil,Nil,Improvement of Drain with installation of Cover Slab from Ankita Ice Factory to Sahu Colony in Ward No-14,Improvement of Drain with installation of Cover Slab from Ankita Ice Factory to Sahu Colony in Ward No-14,Please refer Tender documents. ,NA ,"4,50,848",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,19-Feb-2026 02:00 PM,09-Mar-2026 05:30 PM,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,NA ,NA ,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,Municipal Bodies||Bhawanipatna Municipality,BPM/07/2025-26,2026_ORULB_126263_41,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,AOC,CP,Internal,,Pramod Kumar Padhi,11-May-2026 05:52 PM,finsummary_581922.pdf (323.27 KB),CP,Internal,,Pramod Kumar Padhi,11-May-2026 12:06 PM,techsummary_581922.pdf (323.27 KB),Municipal Bodies||Bhawanipatna Municipality,2026_ORULB_126263_41,BPM/07/2025-26,Improvement of Drain with installation of Cover Slab from Ankita Ice Factory to Sahu Colony in Ward No-14,1.0,3419000.0,JAGA SWAIN,INR,"450,335.22",1,3417481,AJIT KUMAR PRADHAN,09-Mar-2026 01:37 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,11-May-2026,"INR 450,335.22",30.0,Pramod Kumar Padhi,11-May-2026 05:55 PM,41proceeding.pdf (323.00 KB),Finance,ok,Pramod Kumar Padhi,10-May-2026 02:04 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3423069,BHABAGRAHI MAHARANA,08-Mar-2026 12:31 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3415176,BUKHARI FAKIR KHAN,03-Mar-2026 01:09 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3423408,Debabrata Mohanty,08-Mar-2026 08:20 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3419000,JAGA SWAIN,05-Mar-2026 08:40 AM,Accepted-AOC,Awarded,11-May-2026 05:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3419341,MANOJ KUMAR BAG,05-Mar-2026 02:42 PM,Rejected-AOC,L2,11-May-2026 05:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3424082,MOHAMMAD ABDUL MOHASIN,09-Mar-2026 02:43 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3419194,PRATIK BHANSALI,05-Mar-2026 12:55 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3418540,Priyabrata Patra,05-Mar-2026 09:51 AM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3419349,SAROJ KANTA NAIK,05-Mar-2026 07:42 PM,Rejected-Finance,L3,11-May-2026 05:52 PM,,,,,,,,,,,,,AOC
