Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Superintending Engineer,"RURAL WORKS DIVISION, KESINGA","6,000",Yes,fixed,,Nil,Nil,S/R to Sandunguri - Dengugundri Road 0/000 to 1/000 for the year 2025-26,S/R to Sandunguri - Dengugundri Road 0/000 to 1/000 for the year 2025-26,Please refer Tender documents. ,NA ,"5,93,042",Civil Works - Roads,NA ,Tender,90.0,30.0,KESINGA,766012.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KESINGA",No ,No,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,RWKSNG-online-06/25-26,2025_CERWI_120160_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Oct-2025 04:00 PM,10-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,07-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,03-Nov-2025 11:00 AM ,27-Oct-2025 04:00 PM,07-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits NRC, and required documents as DTCN",1,ICICI BANK,"4,000",0.0,Nil,Nil,No,AOC,Kanan Pradhan,Internal,,Kanan Pradhan,23-May-2026 07:57 PM,finsummary_558862.pdf (507.45 KB),Kanan Pradhan,Internal,,Kanan Pradhan,23-May-2026 07:55 PM,techsummary_558862.pdf (507.45 KB),1,3178480,SHASHI BHUSAN PRAHARAJ,04-Nov-2025 01:20 AM,Rejected-Finance,as per transparent lottery system,23-May-2026 07:57 PM,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,2025_CERWI_120160_27,RWKSNG-online-06/25-26,S/R to Sandunguri - Dengugundri Road 0/000 to 1/000 for the year 2025-26,1.0,3184271.0,UPENDRA KUMAR BHOI,INR,"504,145",23-May-2026,"INR 504,145",30.0,Kanan Pradhan,23-May-2026 07:59 PM,2971.pdf (503.00 KB),Finance,2 nos bidder participated,Tapan Kumar Badnayak,10-Nov-2025 08:56 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantities,2,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,2,3184271,UPENDRA KUMAR BHOI,05-Nov-2025 09:22 PM,Accepted-AOC,as per transparent lottery system,23-May-2026 07:59 PM,,,,,,,,,,,,,,,,,,,,,,AOC
