Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of Paver Road from Alekh Mahima Tungi front Open Space to Banamali Behera res.at Godipatna in Ward No 16 of Choudwar Municipality,Construction of Paver Road from Alekh Mahima Tungi front Open Space to Banamali Behera res.at Godipatna in Ward No 16 of Choudwar Municipality,Please refer Tender documents. ,NA ,"6,86,364",Civil Works - Roads,NA ,Tender,60.0,NA ,Choudwar Municipality,754071.0,NA ,NA ,NA ,Choudwar Municipality,No ,No,"6,864",Yes,fixed,,Nil,Nil,"Executive Officer, Choudwar Municipality",Choudwar Municipality,Municipal Bodies||Choudwar Municipality,CHM-02/2025-2026,2025_ORULB_117505_51,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Sep-2025 11:00 AM,22-Sep-2025 11:00 AM,06-Sep-2025 11:00 AM,20-Sep-2025 05:00 PM,NA ,NA ,06-Sep-2025 11:00 AM,20-Sep-2025 05:00 PM,"4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,1,ICICI BANK,AOC,EO,Internal,,Soumya Ranjan Mishra,20-May-2026 12:01 PM,finsummary_551235.pdf (1333.81 KB),EO,Internal,,Soumya Ranjan Mishra,20-May-2026 11:51 AM,techsummary_551235.pdf (267.22 KB),20-May-2026,"INR 686,364",60.0,Soumya Ranjan Mishra,20-May-2026 12:40 PM,51.pdf (1334.00 KB),1,3089113,ANIL KUMAR BHOI,19-Sep-2025 08:13 PM,Accepted-AOC,L1,20-May-2026 12:40 PM,Municipal Bodies||Choudwar Municipality,2025_ORULB_117505_51,CHM-02/2025-2026,Construction of Paver Road from Alekh Mahima Tungi front Open Space to Banamali Behera res.at Godipatna in Ward No 16 of Choudwar Municipality,1.0,3089113.0,ANIL KUMAR BHOI,INR,"686,364",Finance,"The Tender has been opened in presence of EO,ME,JE in Choudwar Municipality",Patitapaban Pattnayak,25-Sep-2025 05:51 PM,finance_551235.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,As Per BOQ,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,2,3090738,Mangaraj Behera,20-Sep-2025 04:21 PM,Rejected-Finance,HIGHEST,20-May-2026 12:01 PM,,,,,,,,,,,,,,,,AOC
