Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
CP,Internal,,Pramod Kumar Padhi,15-May-2026 04:06 PM,techsummary_581839.pdf (323.27 KB),19-May-2026,"INR 1,669,575.66",30.0,Pramod Kumar Padhi,19-May-2026 04:36 PM,41proceeding.pdf (323.00 KB),1,3423794,Arati Tripathy,09-Mar-2026 12:28 PM,Rejected-Finance,L3,19-May-2026 04:31 PM,Finance,ok,Pramod Kumar Padhi,15-May-2026 05:25 AM,,BOQ Comparative Chart,1.0,3424296.0,HARI SHANKAR PATNAIK,INR,"1,669,575.66",Municipal Bodies||Bhawanipatna Municipality,2026_ORULB_126263_5,BPM/07/2025-26,Improvement of Road and Drain with installation of Cover Slab at Irrigation Colony Lane-3 in Ward No-02,CP,Internal,,Pramod Kumar Padhi,19-May-2026 04:31 PM,finsummary_581839.pdf (323.27 KB),AOC,"16,800",Yes,fixed,,Nil,Nil,Improvement of Road and Drain with installation of Cover Slab at Irrigation Colony Lane-3 in Ward No-02,Improvement of Road and Drain with installation of Cover Slab at Irrigation Colony Lane-3 in Ward No-02,Please refer Tender documents. ,NA ,"16,71,188",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,19-Feb-2026 02:00 PM,09-Mar-2026 05:30 PM,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,NA ,NA ,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Bhawanipatna Municipality,BPM/07/2025-26,2026_ORULB_126263_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",1.0,ICICI BANK,1.0,Extension of date,Date,,AOC
,,,,,,,,,,,,2,3415279,ARIJIT NAYAK,02-Mar-2026 11:48 AM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,3,3415513,BANAMALI NAIK,03-Mar-2026 06:31 PM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3419523,BIBHUTI BHUSAN PANDA,05-Mar-2026 03:01 PM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3418661,BIKASH KUMAR SAHANI,04-Mar-2026 10:42 PM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3419456,DEEPAK KUMAR SAHANI,05-Mar-2026 02:14 PM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3424296,HARI SHANKAR PATNAIK,09-Mar-2026 04:21 PM,Accepted-AOC,Awarded,19-May-2026 04:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3419854,JAJATI KESHARI MOHANTY,07-Mar-2026 10:26 AM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3414947,JANAKI PUJHARI,03-Mar-2026 11:28 AM,Rejected-AOC,L2,19-May-2026 04:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3424058,MOHAMMAD ABDUL MOHASIN,09-Mar-2026 02:37 PM,Rejected-Finance,L3,19-May-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
