Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
S Mahali,Internal,,Sukadev Mahali,11-Mar-2026 12:22 PM,11-Mar-2026 12:25 PM,techsummary_554701.pdf (626.61 KB),1.0,Corrigendum,Tender revoke,11-Mar-2026 11:31 AM,Proceedingsanbhalupali.pdf ,1589.13,Technical Opening,Finance,financial bids are opened,Sunita Kumari Jena,11-Mar-2026 12:38 PM,finance_554701.pdf,BOQ Comparative Chart,13-Mar-2026,"INR 42,266,564",270.0,Sukadev Mahali,06-May-2026 12:17 PM,san.pdf (112.00 KB),l-1,1,3134685,ALOK RANJAN BEDBAK,18-Oct-2025 03:30 PM,Accepted-AOC,l-1,06-May-2026 12:18 PM,1.0,3134685.0,ALOK RANJAN BEDBAK,INR,"42,266,564",Technical,10 bids opened,Sukadev Mahali,11-Mar-2026 12:02 PM,technical_554701.pdf,CE RW I||RWCIRCLE-BALANGIR,2025_CERWI_118966_1,BLGR-Online-17/2025-26,Improvement to PWD Road Sanbhalupali road in the district of Subarnapur under MMSY-Improvement to Existing RD Road for the year 2025-26,S Mahali,Internal,,Sukadev Mahali,13-Mar-2026 11:10 AM,finsummary_554701.pdf (96.55 KB),AOC,06-Oct-2025 09:55 AM,20-Oct-2025 11:00 AM,06-Oct-2025 09:55 AM,18-Oct-2025 06:55 PM,06-Oct-2025 09:55 AM ,17-Oct-2025 05:00 PM ,06-Oct-2025 09:55 AM,18-Oct-2025 06:55 PM,11-Mar-2026 12:25 PM,CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-17/2025-26,2025_CERWI_118966_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"4,97,200",Yes,percentage,1.0%,Nil,Nil,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Improvement to PWD Road Sanbhalupali road in the district of Subarnapur under MMSY-Improvement to Existing RD Road for the year 2025-26,Improvement to PWD Road Sanbhalupali road in the district of Subarnapur under MMSY-Improvement to Existing RD Road for the year 2025-26,Please refer Tender documents. ,NA ,"4,97,20,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134402,DEBADATTA MISHRA,18-Oct-2025 01:46 PM,Rejected-Technical,Undertaking for Instalation of Hot Mix Plant within 60km not furnished,11-Mar-2026 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work, Machinaries and others documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3126509,KAMALA AGRAWAL,13-Oct-2025 05:51 PM,Rejected-Finance,Unsuccess in lottery system,13-Mar-2026 11:10 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3131505,M/S DASH BROTHERS AND SONS CONSTRUCTION,18-Oct-2025 12:38 PM,Rejected-Finance,Unsuccess in lottery system,13-Mar-2026 11:10 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3133473,M/S RAMESH KUMAR AGRAWAL,17-Oct-2025 09:30 PM,Rejected-Technical,Insufficient Similar Nature of Work Experience,11-Mar-2026 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3134337,M/s SHREE INFRA AND CO,18-Oct-2025 01:35 PM,Rejected-Technical,Online EMD not furnished,11-Mar-2026 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3130521,Ramnarayan Mishra,17-Oct-2025 09:28 PM,Rejected-Finance,Unsuccess in lottery system,13-Mar-2026 11:10 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3134773,SAROJINI BEDBAK,18-Oct-2025 03:56 PM,Rejected-Technical,Insufficient Similar Nature of Work Experience,11-Mar-2026 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3134530,SUMIT SINGHAL,18-Oct-2025 03:00 PM,Rejected-Technical,Work Experience not furnished,11-Mar-2026 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3133759,Yajat Agrawal,18-Oct-2025 10:15 AM,Rejected-Technical,Insfficient Work Experience on Similar Nature of Work,11-Mar-2026 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
