S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3161171.0,PRAVATI SAHOO,INR,"200,278",Technical,Tender Committee opened the Tender,Nihar Ranjan Behera,30-Oct-2025 05:02 PM,,Municipal Bodies||Odagaon NAC,2025_ORULB_119467_1,NAC-ODG-04/2025-26,Construction of CC drain with cover plate from Bati Das house to Ladu Sahoo house in ward-10 of NAC Odagaon,Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,17-Dec-2025 03:41 PM,finsummary_555912.pdf (2404.71 KB),Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,12-Nov-2025 03:58 PM,12-Nov-2025 04:00 PM,techsummary_555912.pdf (577.78 KB),Finance,Tender Committee opened the Tender,Nihar Ranjan Behera,13-Nov-2025 04:31 PM,,BOQ Comparative Chart,1,3162608,BIPIN KUMAR NAYAK,28-Oct-2025 07:53 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,04-May-2026,"INR 200,278",30.0,Nihar Ranjan Behera,04-May-2026 09:35 AM,3536.pdf (284.00 KB),AOC,"2,000",0.0,Nil,Nil,No,"2,400",Yes,fixed,,Nil,Nil,Construction of CC drain with cover plate from Bati Das house to Ladu Sahoo house in ward-10 of NAC Odagaon,Construction of CC drain with cover plate from Bati Das house to Ladu Sahoo house in ward-10 of NAC Odagaon,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,30.0,NAC ODAGAON,752081.0,NA ,NA ,NA ,NAC ODAGAON,No ,No,EXECUTIVE OFFICER,"NAC Office, Odagaon, Nayagarh, Pin-752081",16-Oct-2025 11:00 AM,30-Oct-2025 11:00 AM,16-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,16-Oct-2025 11:00 AM ,29-Oct-2025 05:00 PM ,16-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,12-Nov-2025 04:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Aadhar, PAN, License etc.",Municipal Bodies||Odagaon NAC,NAC-ODG-04/2025-26,2025_ORULB_119467_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3164103,DILLIP KUMAR PADHI,28-Oct-2025 05:47 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3164682,KUMARI SAHOO,28-Oct-2025 08:58 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3155388,MANORANJAN JENA,28-Oct-2025 10:07 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3160760,PABITRA CHANDRA BEHERA,28-Oct-2025 08:34 PM,Rejected-AOC,As per Tender Committee decision,04-May-2026 09:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3156038,PANU SETHI,28-Oct-2025 01:45 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3161171,PRAVATI SAHOO,28-Oct-2025 06:30 PM,Accepted-AOC,As per Tender Committee decision,04-May-2026 09:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3133337,PRIYARANJAN BHATTA,17-Oct-2025 08:22 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3163891,SAROJINI BEHERA,28-Oct-2025 05:04 PM,Rejected-Finance,Through Transparent Lottery Process,17-Dec-2025 03:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
