S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3429765.0,LALIT BHARTI,INR,"1,044,883",Finance,open,Sanjeet Kumar Naik,26-May-2026 11:03 AM,finance_583619.pdf,BOQ Comparative Chart,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,26-May-2026 11:13 AM,finsummary_583619.pdf (614.78 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2026_CERWI_126782_1,32/2025-26,Extention of PHC building construction of approach road and drainage at Asana PHC under Bahalda block under OMBADC,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,26-May-2026 11:08 AM,techsummary_583619.pdf (614.78 KB),1,3428955,ANJANA KUMARI MOHANTA,12-Mar-2026 06:09 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,26-May-2026,"INR 1,044,883",90.0,Sanjeet Kumar Naik,26-May-2026 11:19 AM,2862.pdf (615.00 KB),AOC,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,28-Feb-2026 03:00 PM,16-Mar-2026 11:30 AM,28-Feb-2026 03:00 PM,13-Mar-2026 05:00 PM,28-Feb-2026 03:00 PM ,12-Mar-2026 05:00 PM ,28-Feb-2026 03:00 PM,13-Mar-2026 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,32/2025-26,2026_CERWI_126782_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,500",Yes,fixed,,Nil,Nil,Extention of PHC building construction of approach road and drainage at Asana PHC under Bahalda block under OMBADC,Extention of PHC building construction of approach road and drainage at Asana PHC under Bahalda block under OMBADC,NA ,NA ,"10,50,134",Civil Works - Buildings,NA ,Tender,90.0,90.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GSTIN affidavit etc as per DTCN,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3427775,ASHOK KUMAR BALMIKI,11-Mar-2026 07:47 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3429161,BIMAL KUMAR MAHANTA,12-Mar-2026 09:32 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3429334,DEV KUMAR MANDAL,13-Mar-2026 09:55 AM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3429117,DUSMANTA DAS,12-Mar-2026 08:34 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3429549,JAGATLAL SAHU,13-Mar-2026 11:52 AM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3429040,JEETENDRA KUMAR MALLICK,12-Mar-2026 07:32 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3430223,JITENDRA NATH SAHU,13-Mar-2026 04:29 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3428831,JYOTI PRAKASH AGARWALLA,12-Mar-2026 04:47 PM,Rejected-AOC,Lottery,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3429765,LALIT BHARTI,13-Mar-2026 01:09 PM,Accepted-AOC,Lottery winner,26-May-2026 11:19 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
