Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Flood protection work for LFB of river Rushikulya from village Kusapada to Jahada,Flood protection work for LFB of river Rushikulya from village Kusapada to Jahada,Please refer Tender documents. ,NA ,"8,45,21,400",Civil Works - Others,NA ,Tender,90.0,330.0,Aska,761110.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,"8,45,500",Yes,fixed,,Nil,Nil,24-Mar-2025 10:00 AM,09-Apr-2025 11:30 AM,24-Mar-2025 10:00 AM,08-Apr-2025 05:00 PM,24-Mar-2025 10:00 AM ,02-Apr-2025 05:00 PM ,24-Mar-2025 10:00 AM,08-Apr-2025 05:00 PM,17-Feb-2026 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC,",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-17/2024-25",2025_CEBMB_111840_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Sagar Mohanty,Internal,,Rajib Kumar Pandit,23-Apr-2026 12:57 PM,finsummary_533952.pdf (562.89 KB),"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_111840_1,"ACE,RBB-17/2024-25",Flood protection work for LFB of river Rushikulya from village Kusapada to Jahada,Technical,Downloaded Successfully,Subhasree Patro,02-Dec-2025 06:40 PM,,1.0,2873526.0,Girish Kumar Tripathy,INR,"71,851,637",1,2878850,ABHILASH BISWAL,08-Apr-2025 01:33 PM,Rejected-Technical,Non-responsive,16-Feb-2026 01:47 PM,07-May-2026,"INR 71,851,637",330.0,Rajib Kumar Pandit,07-May-2026 04:17 PM,AOC.pdf (1282.00 KB),"This work is awarded to Girish Kumar Tripathy,vide Agreement No. 01 P1/ 2026-27 of Bhanjanagar Irrigation Division, Bhanjanagar",Finance,Downloaded Successfully.,Subhasree Patro,25-Feb-2026 11:59 AM,,BOQ Comparative Chart,"Mukul Chandra Bera, EIC Procurement",Internal,,Rajib Kumar Pandit,16-Feb-2026 01:47 PM,17-Feb-2026 11:30 AM,techsummary_533952.pdf (3209.06 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2867685,Ganesh Chandra Mohanty,26-Mar-2025 08:50 PM,Rejected-Technical,Non-Responsive,16-Feb-2026 01:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2879045,Ganesh Sahu,08-Apr-2025 02:38 PM,Rejected-Technical,Non-responsive,16-Feb-2026 01:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2877503,G.Gopal Rao Dora,06-Apr-2025 09:30 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2877884,Girish Chandra Sahu,08-Apr-2025 11:16 AM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2873526,Girish Kumar Tripathy,06-Apr-2025 04:12 PM,Accepted-AOC,Winner of the lottery,07-May-2026 04:18 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2868846,M/s Bajarangi Construction,28-Mar-2025 08:11 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2874246,NILAMADHAB SAHU,01-Apr-2025 12:49 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2876544,Panchanan Sahu,05-Apr-2025 12:53 PM,Rejected-Technical,Non-responsive,16-Feb-2026 01:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2878668,PRABIN KUMAR DALABEHERA,08-Apr-2025 10:27 AM,Rejected-Technical,Non-responsive,16-Feb-2026 01:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,2871865,Prakash Chandra Sahu,28-Mar-2025 12:58 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,2878818,RAJESH PANDA,08-Apr-2025 03:07 PM,Rejected-Technical,Non-responsive,16-Feb-2026 01:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,13,2878338,Ranjit Kumar Swain,07-Apr-2025 06:11 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,14,2868001,Sachin Padhy,27-Mar-2025 09:55 AM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,15,2879117,SAPNESWAR PROJECTS PRIVATE LIMITED,08-Apr-2025 04:41 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,16,2879026,SURENDRA KUMAR MAHAKUDA,08-Apr-2025 03:08 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,17,2873116,Surendranath Gouda,29-Mar-2025 12:47 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,18,2878862,Upendra Bhanja Panda,08-Apr-2025 01:00 PM,Rejected-Finance,Looser of the lottery,23-Apr-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
