S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Chandge of date and other clauses,Date,,Improvement of Patpur Bhuabandha road (ODR) from 0/000 km to 3/813 km in the District of Ganjam under State Plan,Improvement of Patpur Bhuabandha road (ODR) from 0/000 km to 3/813 km,NA ,NA ,"6,47,79,631",Civil Works - Roads,NA ,Tender,90.0,180.0,Patpur Bhuabandha Ganjam,760004.0,NA ,NA ,NA ,"O/o the CCE SC RandB, Berhampur",No ,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,"CCE,SC RandB-BAM-09/2025-26",2025_EICCL_123837_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender paper EMD GSTIN PAN Affidavit Regn cert and other documents as per DTCN,"6,47,800",Yes,fixed,,Nil,Nil,25-Dec-2025 10:00 AM,16-Jan-2026 11:30 AM,25-Dec-2025 10:00 AM,15-Jan-2026 05:30 PM,25-Dec-2025 10:00 AM ,14-Jan-2026 05:30 PM ,25-Dec-2025 10:00 AM,15-Jan-2026 05:30 PM,12-Feb-2026 05:20 PM,Chief Construction Engineer,"Southern Circle RandB,Courtpeta, Berhampur",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,2025_EICCL_123837_1,"CCE,SC RandB-BAM-09/2025-26",Improvement of Patpur Bhuabandha road (ODR) from 0/000 km to 3/813 km in the District of Ganjam under State Plan,Technical,11 bidders participated,P Sandhyarani,16-Jan-2026 05:31 PM,technical_573355.pdf,Chief Construction Engineer,Internal,"EE, O/o the CCE SC RandB, Berhampur, SE and SrDAO, Ganjam RandB Division NO.I, Berhampur, Estr, O/o the CCE SC RandB, Berhampur",Damodar Kaibartta,02-May-2026 06:58 PM,finsummary_573355.pdf (496.38 KB),1.0,3355264.0,B Manoj Kumar Rao,INR,"55,069,164",1,3347458,aruna kumar satapathy,12-Jan-2026 03:35 PM,Accepted-Finance,,12-Feb-2026 06:21 PM,02-May-2026,"INR 55,069,164",180.0,Damodar Kaibartta,02-May-2026 09:17 PM,AOC_Bhuabandha.pdf (391.00 KB),1st Lowest Sri B Manoj Kumar Rao through lottery,Chief Construction Engineer,Internal,"EE, O/o the CCE SC RandB, Berhampur, SE and DAO, Ganjam-II, Berhampur, Estr., O/o the CCE SC RandB, Berhampur",Damodar Kaibartta,10-Feb-2026 05:34 PM,12-Feb-2026 05:20 PM,techsummary_573355.pdf (1861.89 KB),Finance,Nine Nos BOQ Received which are under scrutiny.,P Sandhyarani,12-Feb-2026 06:21 PM,finance_573355.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity2,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3352262,B LAXMI NARYANA,14-Jan-2026 12:28 PM,Rejected-AOC,Unsuccess in lottery,02-May-2026 09:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3355264,B Manoj Kumar Rao,15-Jan-2026 03:48 PM,Accepted-AOC,Success in lottery,02-May-2026 09:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3347635,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,15-Jan-2026 11:51 AM,Accepted-Finance,,12-Feb-2026 06:21 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3352212,MANTU KUMAR PATTNAYAK,14-Jan-2026 03:50 PM,Rejected-Technical,Disqualified by the TEC as per DTCN Cl.10 not securing 80 percent marks in machineries,10-Feb-2026 05:34 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3343636,MESSERS B L CONSTRUCTION,12-Jan-2026 07:22 PM,Rejected-AOC,L2,02-May-2026 09:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3355565,M/s GHANASHYAM CONSTRUCTIONS,15-Jan-2026 02:00 PM,Rejected-AOC,Unsuccess in lottery,02-May-2026 09:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3353312,PITABAS SAMANTRA,14-Jan-2026 07:44 PM,Rejected-AOC,Unsuccess in lottery,02-May-2026 09:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3351759,PRASANTA KUMAR SAHU,12-Jan-2026 07:31 PM,Rejected-AOC,Unsuccess in lottery,02-May-2026 09:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3345944,Sunil Kumar Panigrahy,05-Jan-2026 07:36 PM,Rejected-Technical,Disqualified by the TEC as per DTCN Cl.10 not securing 80 percent marks in machineries,10-Feb-2026 05:34 PM,,,,,,,,,,,,,,,,,,,,,AOC
