S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3417441.0,MAMATA KUMARI DASH,INR,"847,455.26",Administrator,Internal,E.O and Team,Nihar Ranjan Behera,25-May-2026 08:44 AM,finsummary_582062.pdf (3487.67 KB),Technical,Tender Committee opened the Tender,Nihar Ranjan Behera,07-Mar-2026 04:18 PM,,Municipal Bodies||Odagaon NAC,2026_ORULB_126332_1,NAC-ODG-07/2025-26,Construction Of New Road From SH-21 to NAC New Office Building.,Finance,Tender opened by Tender Committee,Nihar Ranjan Behera,10-Mar-2026 04:59 PM,,BOQ Comparative Chart,Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,09-Mar-2026 06:23 PM,10-Mar-2026 11:00 AM,techsummary_582062.pdf (3293.92 KB),25-May-2026,"INR 847,455.26",45.0,Nihar Ranjan Behera,25-May-2026 08:48 AM,1036.pdf (324.00 KB),1,3418594,AMRIT PRIYADARSHAN PANDA,04-Mar-2026 08:53 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,EXECUTIVE OFFICER,"NAC Office, Odagaon, Nayagarh, Pin-752081",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"License, PAN, GST etc.",21-Feb-2026 11:00 AM,06-Mar-2026 11:00 AM,21-Feb-2026 11:00 AM,05-Mar-2026 05:00 PM,21-Feb-2026 11:00 AM ,05-Mar-2026 05:00 PM ,21-Feb-2026 11:00 AM,05-Mar-2026 05:00 PM,10-Mar-2026 11:00 AM,Construction Of New Road From SH-21 to NAC New Office Building.,Construction Of New Road From SH-21 to NAC New Office Building.,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,45.0,NAC ODAGAON,752081.0,NA ,NA ,NA ,NAC ODAGAON,No ,No,"8,500",Yes,fixed,,Nil,Nil,Municipal Bodies||Odagaon NAC,NAC-ODG-07/2025-26,2026_ORULB_126332_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3417521,ANJALI SAHOO,05-Mar-2026 03:44 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3417586,BIPIN KUMAR NAYAK,04-Mar-2026 06:56 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3420146,BISHNU PRIYA BEHERA,05-Mar-2026 03:40 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3417772,DILLIP KUMAR PADHI,03-Mar-2026 10:53 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3420296,JAGAT JEEVAN PRASAD,05-Mar-2026 03:20 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3418613,JOCHANARANI PATI,05-Mar-2026 08:59 AM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3420165,K SATYAJIT SENAPATI,05-Mar-2026 02:36 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3417441,MAMATA KUMARI DASH,03-Mar-2026 07:56 PM,Accepted-AOC,As per Lottery,25-May-2026 08:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3418049,MAMATA PATRA,03-Mar-2026 08:46 PM,Rejected-Finance,As per Lottery,25-May-2026 08:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
