Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",1.0,ICICI BANK,S/R to Police Station Building at Bangriposi,S/R to Police Station Building at Bangriposi,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,"4,000",0.0,Nil,Nil,No,"5,040",Yes,percentage,1.0%,Nil,Nil,21-Feb-2026 03:00 PM,02-Mar-2026 05:30 PM,21-Feb-2026 03:00 PM,02-Mar-2026 05:00 PM,21-Feb-2026 03:00 PM ,02-Mar-2026 03:00 PM ,21-Feb-2026 03:00 PM,02-Mar-2026 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,18Online)/RWD/BPD/2025-26,2026_CERWI_126385_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2026_CERWI_126385_8,18Online)/RWD/BPD/2025-26,S/R to Police Station Building at Bangriposi,R.Pradhan,Internal,,Dibyamayee Behera,20-Apr-2026 06:28 PM,finsummary_582261.pdf (326.96 KB),Finance,.,Dibyamayee Behera,20-Apr-2026 06:23 PM,finance_582261.pdf,BOQ Comparative Chart,1.0,3415166.0,MANAS RANJAN DHIR,INR,"507,944",29-Apr-2026,"INR 507,944",30.0,Rajesh Pradhan,30-May-2026 12:20 PM,18_8.pdf (358.00 KB),1,3416551,ABHISEK MANDAL,02-Mar-2026 02:05 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,R.Pradhan,Internal,,Dibyamayee Behera,20-Apr-2026 06:25 PM,techsummary_582261.pdf (326.96 KB),AOC
,,.pdf,DTCN,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3414547,ANUPAMA BEHERA,27-Feb-2026 09:05 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3416457,CHANDAN KUMAR RAM,02-Mar-2026 03:33 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3415543,GIRISH CHANDRA SETHI,01-Mar-2026 07:54 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3415449,HIMANSHU BHUSHAN PATRA,01-Mar-2026 06:41 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3408972,KAMALAKANTA BARIK,23-Feb-2026 08:20 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3409321,LIPIRANI GOCHHAYAT,24-Feb-2026 10:53 AM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3415166,MANAS RANJAN DHIR,01-Mar-2026 11:03 AM,Accepted-AOC,successful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3416164,PURNENDU BIKASH BEHERA,02-Mar-2026 12:12 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3415037,RANJIT KUMAR PATTANAYAK,28-Feb-2026 10:31 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3416537,TAPAS KUMAR PAIKIRA,02-Mar-2026 02:02 PM,Rejected-AOC,unsuccessful tenderer,30-May-2026 12:20 PM,,,,,,,AOC
