S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,2703306.0,M/s B. M. ELECTRICALS AND CONSTRUCTION,INR,"5,602,203","S.E. Electrical (RandB) Odisha, Bhubaneswar",Internal,"AEE SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, EE GE Sub Divn. (RandB) Rourkela, DAO, Rourkela (RandB) Divn. and SE Rourkela (RandB) Division",Bapuji Behera,03-Mar-2025 04:47 PM,finsummary_519267.pdf (400.07 KB),Technical,Opened,Nihar Chandra Naik,20-Dec-2024 01:38 PM,,EIC-CIVIL||SE R and B Electrical,2024_EICCL_107878_1,Bid Identification No.S.E.E.C (RandB) 09/2024-25,External Power Supply for Construction of New Civil Court Building (Gplus4) at Rourkela.,Finance,Opened,Sulagna Biswal,09-Jan-2025 05:48 PM,,BOQ Comparative Chart,"S.E. Electrical Circle (RandB) Odisha, BBSR",Internal,"AEE, SEEC (RandB) ODisha, BBSR, P.A. to SEEC (RandB) Odisha, BBSr, EE GE Sub-Division (RandB) Rourkela, DAO, Rourkela (RandB) Division, SE Rourkela (Rand) Division.",Nihar Chandra Naik,07-Jan-2025 07:01 PM,09-Jan-2025 05:00 PM,techsummary_519267.pdf (500.05 KB),1,2703705,K K ENTERPRISES,19-Dec-2024 04:02 PM,Rejected-Technical,Not fulfilled the criteria as per DTCN Clause No.11(a),07-Jan-2025 07:01 PM,04-May-2026,"INR 5,602,203",180.0,Nihar Chandra Naik,04-May-2026 05:08 PM,Civilcourt.pdf (2488.00 KB),AOC,AOC,"10,000",0.0,Nil,Nil,No,"65,901",No,fixed,,Nil,Nil,S.E. Electrical Circle (RandB) Bhubaneswar,"S.E. Electrical Circle (RandB) Bhubaneswar, Nirman Soudha, Unit-V, 751001",04-Dec-2024 05:00 PM,20-Dec-2024 11:30 AM,04-Dec-2024 05:00 PM,19-Dec-2024 05:00 PM,04-Dec-2024 05:00 PM ,12-Dec-2024 05:00 PM ,04-Dec-2024 05:00 PM,19-Dec-2024 05:00 PM,09-Jan-2025 05:00 PM,EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 09/2024-25,2024_EICCL_107878_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN, GSTIN, Electrical License, Affidavit and Other documents as per DTCN.",External Power Supply for Construction of New Civil Court Building (Gplus4) at Rourkela.,External Power Supply for Construction of New Civil Court Building (Gplus4) at Rourkela.,Please refer Tender documents. ,NA ,"65,90,052",Electrical Works,NA ,Tender,90.0,180.0,Rourkela,769004.0,NA ,NA ,NA ,S.E. Electrical Circle (RandB) Bhubaneswar,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2703306,M/s B. M. ELECTRICALS AND CONSTRUCTION,19-Dec-2024 12:00 PM,Accepted-AOC,OK,04-May-2026 05:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2703621,PARESH KUMAR BISWAL,19-Dec-2024 02:46 PM,Rejected-AOC,OK,04-May-2026 05:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2702151,POWERTECH ENGINEERING.TAPAS RANJAN PATI,18-Dec-2024 01:44 PM,Rejected-AOC,OK,04-May-2026 05:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2703541,SARADA TECHNO SERVICES,19-Dec-2024 04:34 PM,Rejected-AOC,OK,04-May-2026 05:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
