S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Document As Per DTCN,Construction of BT Road from Rani Bagicha School to Suresh Bhitria House W. No-01,Construction of BT Road from Rani Bagicha School to Suresh Bhitria House W. No-01,Please refer Tender documents. ,NA ,"16,67,960",Civil Works - Others,NA ,Rate Contract,120.0,NA ,Sundargarh Municipality,770001.0,NA ,NA ,NA ,Sundargarh Municipality,No ,No,"16,680",Yes,fixed,,Nil,Nil,21-Feb-2026 11:00 AM,09-Mar-2026 11:00 AM,21-Feb-2026 11:00 AM,07-Mar-2026 05:00 PM,NA ,NA ,21-Feb-2026 11:00 AM,07-Mar-2026 05:00 PM,"Executive Officer, Sundargarh Municipality","Executive Officer, Sundargarh Municipality",Municipal Bodies||Sundargarh Municipality,EO/SNGM/09/2025-26,2026_ORULB_126356_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Municipal Bodies||Sundargarh Municipality,2026_ORULB_126356_1,EO/SNGM/09/2025-26,Construction of BT Road from Rani Bagicha School to Suresh Bhitria House W. No-01,Administrator,Internal,,SUSHANTA PATEL,25-May-2026 11:11 AM,finsummary_582129.pdf (803.93 KB),Finance,Opened,SUSHANTA PATEL,18-Mar-2026 05:22 PM,finance_582129.pdf,BOQ Comparative Chart,1.0,3415563.0,VYASDEV GARDIA,INR,"1,666,309.65",26-May-2026,"INR 1,666,309.65",60.0,Vikas Mundari,26-May-2026 11:41 AM,2441.pdf (479.00 KB),AoC,1,3421334,BHAGABATI SOHELA,06-Mar-2026 01:24 PM,Rejected-AOC,Not accepted,26-May-2026 11:41 AM,Administrator,Internal,,SUSHANTA PATEL,25-May-2026 11:04 AM,techsummary_582129.pdf (803.93 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3415780,GATI KRUSHNA MOHANTY,02-Mar-2026 08:38 AM,Rejected-Finance,As per lottery,25-May-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3415563,VYASDEV GARDIA,01-Mar-2026 08:14 PM,Accepted-AOC,Accepted,26-May-2026 11:41 AM,,,,,,,AOC
