EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"21,100",Yes,fixed,,Nil,Nil,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-IIINo.17/25-26,2025_ORULB_116784_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,1ST Corrigendum Notice,Date,,"Executive Engineer,Div-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012","7,080",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.",09-Oct-2025 12:30 PM,28-Oct-2025 10:00 AM,09-Oct-2025 12:30 PM,23-Oct-2025 05:00 PM,NA ,NA ,09-Oct-2025 12:30 PM,23-Oct-2025 05:00 PM,1.0,ICICI BANK,Construction of CC road from Hotel Krishna to Susanta Parija res at Uttamapur in Ward No.56.,Construction of CC road from Hotel Krishna to Susanta Parija res at Uttamapur in Ward No.56.,Please refer Tender documents. ,NA ,"21,05,024",Civil Works - Others,NA ,Tender,105.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,AOC,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,28-May-2026 01:22 PM,finsummary_555100.pdf (422.68 KB),Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,28-May-2026 12:50 PM,techsummary_555100.pdf (422.68 KB),28-May-2026,"INR 1,789,481",90.0,Sanjukta Sa,28-May-2026 01:57 PM,3491.pdf (1271.00 KB),wo,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_116784_20,MC(CMC)CTC_Div-IIINo.17/25-26,Construction of CC road from Hotel Krishna to Susanta Parija res at Uttamapur in Ward No.56.,1.0,3138787.0,PRATAP KUMAR JENA,INR,"1,789,481",1,3140318,Ganesh Chandra Swain,21-Oct-2025 06:09 PM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,Finance,Sixteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,06-Nov-2025 04:10 PM,finance_555100.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3144515,MANAS KUMAR BEHERA (S.C.),23-Oct-2025 08:20 AM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3126957,NIRUPAMA BEHERA,13-Oct-2025 10:06 PM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3144528,PRASANT KUMAR JETHY,23-Oct-2025 11:21 AM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3138787,PRATAP KUMAR JENA,20-Oct-2025 07:27 PM,Accepted-AOC,Accepted,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3134314,Saroj Kumar Mallick,18-Oct-2025 01:16 PM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3130140,SIDHARTHA SANKAR BISWAL,20-Oct-2025 11:27 AM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3139715,Sri Sisir Mallick,21-Oct-2025 01:21 PM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3145822,SUMANTA DAS,23-Oct-2025 03:08 PM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3126175,SUNMAYA MAJHEE,13-Oct-2025 03:51 PM,Rejected-AOC,Rejected,28-May-2026 01:57 PM,,,,,,,AOC
