Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
23-Feb-2026 12:00 PM,02-Mar-2026 02:00 PM,23-Feb-2026 12:00 PM,02-Mar-2026 12:00 PM,23-Feb-2026 12:00 PM ,02-Mar-2026 11:00 AM ,23-Feb-2026 12:00 PM,02-Mar-2026 12:00 PM,Periodical Maintenance to Agarapada Tarinichhak to Tikira PWD road via Agarapada College Road for the Year 2025-26,Repairs of Roads,"PAN,GST,RC and other relevant document as per DTCN ",NA ,"9,46,845",Civil Works - Roads,NA ,Tender,90.0,15.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/OtheSuperintendingEngineer,R.W.Division,Bhadrak",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN 19 of 2025-26,2026_CERWI_126437_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"9,468",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak",AOC,Executive Engineer,Internal,,Ganesh Chandra Hembram,14-May-2026 02:06 PM,finsummary_582478.pdf (132.46 KB),Executive Engineer,Internal,,Ganesh Chandra Hembram,11-May-2026 01:43 PM,techsummary_582478.pdf (132.46 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2026_CERWI_126437_17,TCN 19 of 2025-26,Periodical Maintenance to Agarapada Tarinichhak to Tikira PWD road via Agarapada College Road for the Year 2025-26,1.0,3414416.0,"M/S Pratikshya Construction, Proprictor Pradipta Kumar Routray.",INR,"804,913",1,3414818,Deepak Khilar,28-Feb-2026 05:07 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,15-May-2026,"INR 804,913",15.0,Ganesh Chandra Hembram,15-May-2026 12:11 PM,1858.pdf (599.00 KB),Finance,Total 10 nos Bidder,Ganesh Chandra Hembram,27-Apr-2026 12:46 PM,finance_582478.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3415750,GITA RANI SAHOO,02-Mar-2026 01:56 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3415890,Gobinda Chandra Sahoo,02-Mar-2026 10:35 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Corrigendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3413662,JANAKILATA SAHOO,27-Feb-2026 11:22 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3414909,KALINGA GOURAV DAS,28-Feb-2026 06:55 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3416052,MADHU SUDAN SAHOO,02-Mar-2026 11:42 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3414416,"M/S Pratikshya Construction, Proprictor Pradipta Kumar Routray.",28-Feb-2026 11:02 AM,Accepted-AOC,successful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3414490,PABITRA JENA,27-Feb-2026 06:47 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3415202,RAJKISHORE DAS,01-Mar-2026 11:42 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3415653,SUSMITA PANI,02-Mar-2026 09:34 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 12:11 PM,,,,,,,,,,,,,AOC
