S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3288194.0,M/S ANANTA BALIA CONSTRUCTION,INR,"45,608,398",Technical,2 NOS BIDDER,Madhusmita Mohanty,10-Dec-2025 06:22 PM,technical_566773.pdf,CE RW I||RWCIRCLE-SAMBALPUR,2025_CERWI_121903_9,ROAD TENDER ONLINE RWCSBP-19/2025-26,Improvement to Bhukta Kapasira Road under MMSY Imp. to existing RD Road in the District of Bargarh for the year 2025-26.,Sujit Behera,Internal,,Sujit Behera,20-May-2026 01:23 PM,finsummary_566773.pdf (26.40 KB),Sujit Behera,Internal,EE ESTIMATOR DAO,Sujit Behera,24-Dec-2025 07:03 PM,30-Dec-2025 04:00 PM,techsummary_566773.pdf (647.16 KB),Finance,2 NOS BIDDER,Madhusmita Mohanty,30-Dec-2025 05:09 PM,finance_566773.pdf,BOQ Comparative Chart,1,3288194,M/S ANANTA BALIA CONSTRUCTION,09-Dec-2025 01:10 PM,Accepted-AOC,AOC,20-May-2026 01:28 PM,20-May-2026,"INR 45,608,398",270.0,Sujit Behera,20-May-2026 01:27 PM,TECH.pdf (26.00 KB),AOC,1,Fee/PreQual/Technical,.pdf,GSTIN RC PAN TNDER COST EMD AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN,"4,40,661",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR,ROAD TENDER ONLINE RWCSBP-19/2025-26,2025_CERWI_121903_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"CHIEF CONSTRUCTION ENGINEER, R.W.CIRCLE, SAMBALPUR","CHIEF CONSTRUCTION ENGINEER, R.W.CIRCLE, SAMBALPUR",1,ICICI BANK,25-Nov-2025 11:10 AM,10-Dec-2025 11:00 AM,25-Nov-2025 11:10 AM,09-Dec-2025 05:00 PM,25-Nov-2025 11:10 AM ,06-Dec-2025 05:00 PM ,25-Nov-2025 11:10 AM,09-Dec-2025 05:00 PM,30-Dec-2025 04:00 PM,1.0,Other,Other,,"10,000",0.0,Nil,Nil,No,Improvement to Bhukta Kapasira Road under MMSY Imp. to existing RD Road in the District of Bargarh for the year 2025-26.,Improvement to Bhukta Kapasira Road under MMSY Imp. to existing RD Road in the District of Bargarh for the year 2025-26.,Please refer Tender documents. ,NA ,"4,40,66,085",Civil Works - Roads,NA ,Tender,90.0,270.0,Bargarh,768028.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , SAMBALPUR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3291248,"M/S SHIBAJI CONSTRUCTION, PROP. KHAGESWAR BEHERA",09-Dec-2025 12:38 PM,Rejected-Finance,L2 BIDDER,20-May-2026 01:23 PM,,,,,,,AOC,2,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
