S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3282784.0,LINGARAJ PANDA,INR,"412,099.24",Finance,BOS,Nilamani Gyanchand Behera,20-Dec-2025 02:13 PM,finance_568018.pdf,BOQ Comparative Chart,"Superintending Engineer, UKHW Division, Kolabnagar",Internal,Divisional Accountant and Estimator,Nilamani Gyanchand Behera,26-Dec-2025 11:09 AM,finsummary_568018.pdf (344.32 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Head Works Division Kolab Nagar,2025_UKHWK_122230_1,SE-UKHWD-08-2025-26(Sl.No.01),Special repair to HR of Padmapur distributary at RD 156.00 m of Satiguda Dam.,"Superintending Engineer, UKHW Division, Kolabnagar",Internal,DIVISIONAL ACCOUNTANT AND ESTIMATOR,Nilamani Gyanchand Behera,20-Dec-2025 02:35 PM,techsummary_568018.pdf (381.29 KB),22-May-2026,"INR 412,099.24",90.0,Nilamani Gyanchand Behera,22-May-2026 05:48 PM,AOC01.pdf (611.00 KB),AOC,1,3289354,BANAMBAR LENKA,08-Dec-2025 03:08 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,1.0,ICICI BANK,"2,000",Nil,Nil,No,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Head Works Division Kolab Nagar,SE-UKHWD-08-2025-26(Sl.No.01),2025_UKHWK_122230_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC","4,900",Yes,fixed,,Nil,Nil,"SuperintendignEngineer, UKHW Division, Kolabnagar,","Office of the Superintending Engineer, UKHW Division, Kolabnagar,Dist-Koraput, Odisha-764011.",Special repair to HR of Padmapur distributary at RD 156.00 m of Satiguda Dam.,Canal Maintenance,As per DTCN ,NA ,"4,84,766",Civil Works - Canal,NA ,Tender,90.0,90.0,JEYPORE,764001.0,NA ,NA ,NA ,"Office of the SE UKHW Division, Kolabnagar,Dist-Ko",No ,No,29-Nov-2025 11:00 AM,09-Dec-2025 11:00 AM,29-Nov-2025 11:00 AM,08-Dec-2025 06:00 PM,NA ,NA ,29-Nov-2025 11:00 AM,08-Dec-2025 06:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3272418,BRAJA KISHOR ROUT,02-Dec-2025 07:25 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, undertaking and any other documents as per DTCN etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3279845,BRUNDABAN BHARATI,05-Dec-2025 08:06 AM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3272184,CHINMAYA RANJAN SAHU,06-Dec-2025 11:57 AM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3284993,GANESH BHANJA,06-Dec-2025 08:03 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3286497,HIMANSU MISHRA,07-Dec-2025 06:54 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3282784,LINGARAJ PANDA,06-Dec-2025 07:24 PM,Accepted-AOC,Qualified in transparent lottery system,22-May-2026 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3279755,NARENDRA BHARATI,05-Dec-2025 07:32 AM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3289789,PRASANTA KUMAR MOHANTY,08-Dec-2025 04:25 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3286976,PRATAP KUMAR DASH,07-Dec-2025 09:18 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3288156,SASMITA BAL,08-Dec-2025 11:51 AM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
