Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, Bijepur NAC","Executive Officer, Bijepur NAC",1.0,Fee/PreQual/Technical/Finance,.pdf,As per NIT,Municipal Bodies||Bijepur NAC,EO/Bijepur/04/2025-26/02,2026_ORULB_127124_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,11-Mar-2026 09:00 AM,30-Mar-2026 11:00 AM,11-Mar-2026 09:00 AM,25-Mar-2026 05:00 PM,NA ,NA ,11-Mar-2026 09:00 AM,25-Mar-2026 05:00 PM,1.0,ICICI BANK,"46,867",Yes,fixed,,Nil,Nil,Construction of Smart Park at Bijepur under Bijepur NAC for the year 2025-26,Construction of Smart Park at Bijepur under Bijepur NAC for the year 2025-26,Please refer Tender documents. ,NA ,"46,86,680",Civil Works - Others,NA ,Tender,120.0,120.0,Bijepur NAC,768032.0,NA ,NA ,NA ,Bijepur NAC,No ,No,AOC,1,3440545,CHINTAMANI SAHU,25-Mar-2026 02:11 PM,Accepted-AOC,L1 Bidder,12-May-2026 09:45 AM,12-May-2026,"INR 4,686,211",120.0,Bijna Bibhudatta Sahoo,12-May-2026 09:45 AM,AOCSMARTPARK.pdf (500.00 KB),AOC,CP,Internal,All Members,Bijna Bibhudatta Sahoo,11-May-2026 01:07 PM,techsummary_584667.pdf (198.53 KB),CP,Internal,All Member,Bijna Bibhudatta Sahoo,12-May-2026 09:36 AM,finsummary_584667.pdf (198.53 KB),Municipal Bodies||Bijepur NAC,2026_ORULB_127124_1,EO/Bijepur/04/2025-26/02,Construction of Smart Park at Bijepur under Bijepur NAC for the year 2025-26,1.0,3440545.0,CHINTAMANI SAHU,INR,"4,686,211",Finance,For the above work 4 nos Bidder has participated and out of them 2 Bidders are rejected in Technical Part,Bijna Bibhudatta Sahoo,11-May-2026 01:01 PM,finance_584667.pdf,BOQ Comparative Chart,AOC
,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3440605,Kaushika Panigrahi,25-Mar-2026 12:24 PM,Rejected-Finance,L2,12-May-2026 09:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3441036,M/S RAMCHANDRA DANSANA,25-Mar-2026 04:47 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not attended in this office for verification of the original documents in due time.,11-May-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3435606,SANANDA SAHU,25-Mar-2026 12:19 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not attended in this office for verification of the original documents in due time.,11-May-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
