EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"59,000",Yes,fixed,,Nil,Nil,S/R to Naraharipur Chhak to Purusottampur Road in the district of Jajpur for the year 2025-26,S/R to Naraharipur Chhak to Purusottampur Road in the district of Jajpur for the year 2025-26,Please refer Tender documents. ,NA ,"58,73,973",Civil Works - Roads,NA ,Tender,90.0,60.0,JAJPUR,755007.0,NA ,NA ,NA ,"O/o The S.E, R.W.Division,Jajpur",No ,No,"10,000",0.0,Nil,Nil,No,"Superintending Engineer,","R.W.Division,Jajpur",20-Nov-2025 06:50 PM,29-Nov-2025 11:00 AM,20-Nov-2025 06:50 PM,28-Nov-2025 05:00 PM,20-Nov-2025 06:50 PM ,27-Nov-2025 05:00 PM ,20-Nov-2025 06:50 PM,28-Nov-2025 05:00 PM,02-Dec-2025 06:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost,EMD,RC,PAN,GSTN,Affidavit and Other Documents as per DTCN",1.0,ICICI BANK,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,Tender Online 10 JJPT of 2025-26,2025_CERWI_121672_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,3260054,BIJAYA KUMAR JENA,27-Nov-2025 01:46 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,22-May-2026,"INR 4,993,464.77",60.0,Abinash Barick,22-May-2026 02:49 PM,10.pdf (289.00 KB),AWARD OF CONTRACT,Finance,17 NOS BIDDERS,Abinash Barick,22-May-2026 10:44 AM,,BOQ Comparative Chart,Superintending Engineer,Internal,"DAO, Estimator",Abinash Barick,02-Dec-2025 06:18 PM,02-Dec-2025 06:30 PM,techsummary_566058.pdf (199.37 KB),SUPERINTENDING ENGINEER,Internal,"DAO, ESTIMATOR",Abinash Barick,22-May-2026 10:58 AM,finsummary_566058.pdf (289.08 KB),CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,2025_CERWI_121672_1,Tender Online 10 JJPT of 2025-26,S/R to Naraharipur Chhak to Purusottampur Road in the district of Jajpur for the year 2025-26,Technical,17 Nos Bidders Submitted,Abinash Barick,29-Nov-2025 02:21 PM,,1.0,3247947.0,BIRANCHI KUMAR DWIBEDI,INR,"4,993,464.77",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,2,3247947,BIRANCHI KUMAR DWIBEDI,24-Nov-2025 06:06 PM,Accepted-AOC,Qualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3261340,DIGAMBAR BISWAL,27-Nov-2025 07:11 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3261581,DILLIP KUMAR ROUT,27-Nov-2025 08:29 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3252004,JULKAR RAHEMAN KHAN,24-Nov-2025 07:09 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3264388,M/S BISWAJIT BEHURIA,28-Nov-2025 04:24 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3260132,M/S RANJAN KUMAR BEHERA,27-Nov-2025 02:08 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3261396,PRATIPARNA PARAKRANTA NAYAK,27-Nov-2025 07:41 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3264015,RAHUL DEV NAYAK,28-Nov-2025 03:21 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3260205,RAKESH KUMAR SAHOO,27-Nov-2025 02:22 PM,Rejected-AOC,Disqualify,22-May-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
