Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Executive Engineer (Central Tender Cell),"Central Tender Cell,BMC,ICOMC Tower, Pin-751022",1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-70/2025-26 Dt. 11.02.2026,2026_ORULB_125882_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Providing Paver Block near E Lite Club E Colony at Unit 8 in Ward No. 47,Providing Paver Block near E Lite Club E Colony at Unit 8 in Ward No. 47,Please refer Tender documents. ,NA ,"4,23,503",Civil Works - Others,NA ,Tender,120.0,45.0,BMC AREA,751022.0,"Office Chamber of EE Central Tender Cell,BMC ","UG Floor, Central Tender Cell,BMC ",18-Feb-2026 04:00 PM ,"Central Tender Cell,BMC",No ,No,"4,300",Yes,fixed,,Nil,Nil,14-Feb-2026 10:30 AM,24-Feb-2026 11:00 AM,14-Feb-2026 10:30 AM,23-Feb-2026 05:00 PM,14-Feb-2026 10:30 AM ,18-Feb-2026 01:30 PM ,14-Feb-2026 10:30 AM,23-Feb-2026 05:00 PM,AOC,05-May-2026,"INR 489,738",45.0,Lipsa Parida,05-May-2026 05:08 PM,WO_70_9.pdf (499.00 KB),1,3408432,AJAY KUMAR BEHERA,23-Feb-2026 02:32 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,05-May-2026 04:59 PM,techsummary_580960.pdf (1691.08 KB),City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,05-May-2026 05:05 PM,finsummary_580960.pdf (4163.25 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2026_ORULB_125882_9,BMC-EE-Tender Cell-70/2025-26 Dt. 11.02.2026,Providing Paver Block near E Lite Club E Colony at Unit 8 in Ward No. 47,1.0,3407578.0,JAGANNATH BEHERA,INR,"489,738",Finance,12 bids opened successfully,Lipsa Parida,24-Feb-2026 12:05 PM,finance_580960.pdf,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3405442,AMIYA RANJAN TRIPATHY,21-Feb-2026 04:22 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3407163,BIPLAB KUMAR PATRA,21-Feb-2026 06:40 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3408363,DIPTIRANJAN RAYASINGH,23-Feb-2026 02:06 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3402006,GYANA RANJAN PATRA,19-Feb-2026 07:39 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3407578,JAGANNATH BEHERA,22-Feb-2026 05:16 PM,Accepted-AOC,L1 bidder,05-May-2026 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3407257,MAMATA ROY,21-Feb-2026 08:36 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3407242,SATYAJIT ROY,21-Feb-2026 08:18 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3401973,SUBHASHREE SAHOO,19-Feb-2026 07:00 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3407175,SUPRA SUCHISMITA MISHRA,21-Feb-2026 07:03 PM,Rejected-Finance,Rejected,05-May-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
