Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"SuperintendignEngineer, UKHW Division, Kolabnagar,","Office of the Superintending Engineer, UKHW Division, Kolabnagar,Dist-Koraput, Odisha-764011.",1.0,ICICI BANK,29-Nov-2025 11:50 AM,09-Dec-2025 11:00 AM,29-Nov-2025 11:50 AM,08-Dec-2025 06:00 PM,NA ,NA ,29-Nov-2025 11:50 AM,08-Dec-2025 06:00 PM,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Head Works Division Kolab Nagar,SE-UKHWD-08-2025-26(Sl.No.07),2025_UKHWK_122249_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Slope protection at vulnerable portions at RD 1765 to 1785m and RD 1970 to 2520m of Umuri Minor and between RD 450 to 500m of Targei Minor.,Canal Maintenance,As per DTCN ,NA ,"12,70,186",Civil Works - Canal,NA ,Tender,90.0,90.0,JEYPORE,764001.0,NA ,NA ,NA ,"Office of the SE UKHW Division, Kolabnagar,Dist-Ko",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC","6,000",Nil,Nil,No,"12,800",Yes,fixed,,Nil,Nil,AOC,"Superintending Engineer, UKHW Division, Kolabnagar",Internal,Divisional Accountant and Estimator,Nilamani Gyanchand Behera,26-Dec-2025 12:03 PM,finsummary_568062.pdf (422.09 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Head Works Division Kolab Nagar,2025_UKHWK_122249_1,SE-UKHWD-08-2025-26(Sl.No.07),Slope protection at vulnerable portions at RD 1765 to 1785m and RD 1970 to 2520m of Umuri Minor and between RD 450 to 500m of Targei Minor.,1.0,3286511.0,HIMANSU MISHRA,INR,"1,079,785.02",Finance,BOS,Nilamani Gyanchand Behera,20-Dec-2025 02:06 PM,finance_568062.pdf,BOQ Comparative Chart,1,3289936,Ashish Kumar Panda,08-Dec-2025 04:36 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,22-May-2026,"INR 1,079,785.02",90.0,Nilamani Gyanchand Behera,22-May-2026 05:34 PM,AOC07.pdf (582.00 KB),AOC,"Superintending Engineer, UKHW Division, Kolabnagar",Internal,DIVISIONAL ACCOUNTANT AND ESTIMATOR,Nilamani Gyanchand Behera,20-Dec-2025 02:56 PM,techsummary_568062.pdf (315.77 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, undertaking and any other documents as per DTCN",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3279890,BRUNDABAN BHARATI,05-Dec-2025 08:17 AM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3282619,CHANDINI GURU,05-Dec-2025 05:16 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3280479,GANESH PRASAD PATTNAYAK,08-Dec-2025 04:56 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3286511,HIMANSU MISHRA,07-Dec-2025 08:25 PM,Accepted-AOC,Qualified in transparent lottery system,22-May-2026 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3288637,ISHMAEL KHORA,08-Dec-2025 04:40 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3282960,LINGARAJ PANDA,06-Dec-2025 07:40 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3279805,NARENDRA BHARATI,05-Dec-2025 07:53 AM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3289568,SANTANU KUMAR BEHERA,08-Dec-2025 03:41 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3290156,SUSRI BHARATI PATRO,08-Dec-2025 05:58 PM,Rejected-Finance,Disqualified in transparent lottery,26-Dec-2025 12:03 PM,,,,,,,,,,,,,,AOC
