Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,CCE DKL R and B/10-2025-26,2025_EICCL_120927_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,10,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, EMD, PAN, Valid RC",07-Nov-2025 05:00 PM,24-Nov-2025 11:00 AM,07-Nov-2025 05:00 PM,21-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 05:00 PM,21-Nov-2025 05:00 PM,19-Dec-2025 11:00 AM,CCE Dhenkanal R and B Circle Dhenkanal,CCE Dhenkanal R and B Circle Dhenkanal,"10,000",0.0,Nil,Nil,No,Improvement of Bindhanima Khandahata road from 0/00 km to 14/602 km in the district of Cuttack under State Plan for the year 2025-26,Improvement of Bindhanima Khandahata road from 0/00 km to 14/602 km in the district of Cuttack under State Plan for the year 2025-26,Please refer tender documents ,NA ,"4,10,10,447",Civil Works - Roads,NA ,Tender,90.0,150.0,Choudwar,754025.0,NA ,NA ,NA ,CCE Dhenkanal R and B Circle Dhenkanal,No ,No,AOC,CCE Dhenkanal (R and B) Circle,Internal,SE DAO Estimator of Division PA to CCE Estimators of circle,Purna Chandra Dalai,08-May-2026 01:19 PM,finsummary_562753.pdf (158.05 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,2025_EICCL_120927_7,CCE DKL R and B/10-2025-26,Improvement of Bindhanima Khandahata road from 0/00 km to 14/602 km in the district of Cuttack under State Plan for the year 2025-26,Technical,Opened,Purna Chandra Dalai,24-Nov-2025 12:15 PM,technical_562753.pdf,1.0,3241569.0,SUBHAM ENTERPRISE,INR,"34,862,981",08-May-2026,"INR 34,862,981",150.0,Purna Chandra Dalai,08-May-2026 01:28 PM,Bindhanima_Khandahata.pdf (178.00 KB),Agreement on dt.09.03.2026,1,3237433,ANANTA PRASAD MALIK,21-Nov-2025 08:17 AM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,Finance,Opened,Purna Chandra Dalai,19-Dec-2025 06:21 PM,finance_562753.pdf,BOQ Comparative Chart,CCE Dhenkanal (R and B) Circle,Internal,SE DAO Estimator of Division PA to CCE Estimators of Circle,Purna Chandra Dalai,16-Dec-2025 09:08 PM,19-Dec-2025 11:00 AM,techsummary_562753.pdf (1463.46 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3244158,AUROBINDO MOHANTY,21-Nov-2025 03:11 PM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3244194,DEBABRATA SAMAL,21-Nov-2025 01:50 PM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3231049,Kamal Lochan Das,18-Nov-2025 04:50 PM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3243546,LAGNAJIT BISWAL,21-Nov-2025 11:35 AM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3237578,Manoj Kumar Nayak,19-Nov-2025 12:10 PM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3220547,OM MAA CONSTRUCTION,19-Nov-2025 11:41 AM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3244632,Subash Chandra Mohanty,21-Nov-2025 04:01 PM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3241569,SUBHAM ENTERPRISE,20-Nov-2025 03:13 PM,Accepted-AOC,Winner of the transparent lottery and work has been awarded,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3241363,SUBIMAL BHADRA,20-Nov-2025 06:30 PM,Rejected-AOC,Unsuccessful in transparent lottery,08-May-2026 01:28 PM,,,,,,,,,,,,,,AOC
