S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3432226.0,ORIFEB INDUSTRIES,INR,"738,832.93",Finance,ALL BID DOCUMENTS ARE DOWNLOADED,GIRIDHARI PATTNAIK,16-Mar-2026 06:07 PM,,BOQ Comparative Chart,"SE, MECHANICAL DIVISION, BBSR",Internal,"DAO, ESTIMATOR",Jyoti Ranjan Pradhan,30-May-2026 12:52 PM,finsummary_584366.pdf (520.79 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,2026_CEMWR_126995_1,SE/MDB-29(B)/W/2025-26,"Replacement , Renovation of Gates and hoists at Nagar Saline Embankment at RD 5.200 KM of Kakatpur Irrigation Sub-Division under Nimapara Irrigation Division, Nimapara for the year of 2025-26.","SE, MECHANICAL DIVISION, BBSR",Internal,"DAO, ESTIMATOR",Jyoti Ranjan Pradhan,29-May-2026 12:50 PM,techsummary_584366.pdf (814.00 KB),1,3432548,ABHISEKH ENTERPRISERS,16-Mar-2026 12:02 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,30-May-2026,"INR 738,832.93",15.0,Jyoti Ranjan Pradhan,30-May-2026 01:23 PM,29BAOC.pdf (1061.00 KB),AOC,"SUPERINTENDING ENGINEER, MECHANICAL DIVISION, BBSR","O/O THE SUPERINTENDING ENGINEER, MECHANICAL DIVISION, BHUBANESWAR","7,400",No,fixed,,Nil,Nil,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,SE/MDB-29(B)/W/2025-26,2026_CEMWR_126995_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Replacement , Renovation of Gates and hoists at Nagar Saline Embankment at RD 5.200 KM of Kakatpur Irrigation Sub-Division under Nimapara Irrigation Division, Nimapara for the year of 2025-26.","Replacement , Renovation of Gates and hoists at Nagar Saline Embankment at RD 5.200 KM of Kakatpur Irrigation Sub-Division under Nimapara Irrigation Division, Nimapara for the year of 2025-26.",Please refer Tender documents. ,NA ,"7,38,833",Mechanical Works,NA ,Tender,90.0,15.0,KAKATPUR,752108.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,09-Mar-2026 10:00 AM,16-Mar-2026 04:00 PM,09-Mar-2026 10:00 AM,16-Mar-2026 03:30 PM,09-Mar-2026 10:00 AM ,16-Mar-2026 03:30 PM ,09-Mar-2026 10:00 AM,16-Mar-2026 03:30 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3431042,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",14-Mar-2026 06:26 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3426318,BANASHREE BHUYAN,16-Mar-2026 08:53 AM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3432130,DASH ENGINEERING AND WORKS,16-Mar-2026 02:08 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3426303,LAXMIDHRA BHUYAN,15-Mar-2026 09:30 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3432648,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,16-Mar-2026 12:58 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3432713,M/S SAI SHREE INDUSTRIES,16-Mar-2026 02:44 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3432113,M/S. SANJEEB ENTERPRISERS,16-Mar-2026 02:05 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3432226,ORIFEB INDUSTRIES,16-Mar-2026 11:03 AM,Accepted-AOC,LOTTERY WINNER AND SUCCESSFUL BIDDER,30-May-2026 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3433190,PRAGATI ENGINEERING,16-Mar-2026 03:07 PM,Rejected-Finance,LOOSER OF THE LOTTERY,30-May-2026 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
