S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3387971.0,SARTAZ AHAMAD KHAN,INR,"8,488,472",Additional Chief Engieer,Internal,"Additional Chief Engineer UIDC, Assistant to ACE, EE PDD, Estimator UIDC, Divisional Accountant PDD",Nelson Tadingi,10-May-2026 11:09 AM,finsummary_577727.pdf (7396.37 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Indravati Dam Circle Khatiguda||Podgada Dam Division Khatiguda,2026_PGDDK_125070_1,EEPDD-06(01/03)/2025-26,IMPROVEMENT TO ROADS OF DAM TOP ROAD IN BERM 1 CONNECTING ROADS OF KAPUR EARTH DAM U.I.D.C. KHATIGUDA.,Technical,BID OPENING SUMMARY,Nelson Tadingi,11-Mar-2026 11:39 AM,technical_577727.pdf,Finance,FINANCIAL BID OPENING SUMMARY,Nelson Tadingi,10-May-2026 09:30 AM,finance_577727.pdf,BOQ Comparative Chart,"EE,PDD",Internal,"EE,PDD,DIvisional Accountant,Estimator",Nelson Tadingi,11-Mar-2026 02:08 PM,13-Mar-2026 11:00 AM,techsummary_577727.pdf (876.50 KB),11-May-2026,"INR 8,488,472",90.0,Nelson Tadingi,10-May-2026 11:26 AM,13.pdf (2884.00 KB),Succesfull Bidder found through transparent lottery,1,3389310,BASANTA CHOUDHURY,09-Feb-2026 11:31 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,"10,000",Nil,Nil,No,1.0,ICICI BANK,27-Jan-2026 11:00 AM,11-Feb-2026 11:00 AM,27-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,27-Jan-2026 11:00 AM ,29-Jan-2026 05:00 PM ,27-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,13-Mar-2026 11:00 AM,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Indravati Dam Circle Khatiguda||Podgada Dam Division Khatiguda,EEPDD-06(01/03)/2025-26,2026_PGDDK_125070_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"84,900",Yes,fixed,,Nil,Nil,"Executive Engineer, Podagada Dam Division","O/o The Executive Engineer, Podagada Dam Division, Khatiguda, Nabarangpur, Odisha, 764085",IMPROVEMENT TO ROADS OF DAM TOP ROAD IN BERM 1 CONNECTING ROADS OF KAPUR EARTH DAM U.I.D.C. KHATIGUDA.,IMPROVEMENT TO ROADS OF DAM TOP ROAD IN BERM 1 CONNECTING ROADS OF KAPUR EARTH DAM U.I.D.C. KHATIGUDA.,Please refer Tender documents. ,NA ,"84,88,472",Civil Works - Roads,NA ,Tender,90.0,90.0,Khatiguda,764085.0,NA ,NA ,NA ,"O/o The Executive Engineer, Podagada Dam Division,",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Scanned copy of Bid Cost, EMD, PAN, GST Certificate, RC of Contractor",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3391277,BINGU MUDULI,10-Feb-2026 04:39 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit on authentication of documents (Annexture -A),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3380196,DIBYA RANJAN MOHANTY,04-Feb-2026 01:01 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information regarding litigation/ No Adverse Certificate etc. (Annexture-B),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3388343,KHYAMANIDHI HARIJAN,10-Feb-2026 02:58 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit towards exemption of EMD incase of Engineer Contractors,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3386603,KISTO HARIJAN,09-Feb-2026 12:02 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of No Relationship (Annexture-C),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3385657,KUMAR CHIRANJEEB GOCHHAYAT,08-Feb-2026 07:16 AM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit towards availing facilities in case of SC/ST Contractor with valid caste certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3387635,LAL MOHAN BEHERA,09-Feb-2026 01:32 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Any other document, felt necessary as per DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3389269,MAHENDRA KUMAR BISOYI,09-Feb-2026 11:09 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3388555,MOHAMMED AYAN RAZA,09-Feb-2026 07:44 PM,Rejected-AOC,Rejected,10-May-2026 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3388053,MONALUCKY PRADHAN,10-Feb-2026 02:44 PM,Rejected-Finance,Rejected due to failure to Justify the Abnormally low bid,10-May-2026 11:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
