S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"13,540",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",19-Jan-2026 09:00 AM,24-Jan-2026 05:00 PM,19-Jan-2026 09:00 AM,24-Jan-2026 03:00 PM,19-Jan-2026 09:00 AM ,24-Jan-2026 11:00 AM ,19-Jan-2026 09:00 AM,24-Jan-2026 03:00 PM,Periodical Maintenance of L-23- Dakhinapantalo Road for the year 2025-26,Road Work,Please refer Tender documents. ,NA ,"13,54,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Nimapara,752106.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, R.W.D, NIMAPARA",No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,Tender Online Divn.NPR-12/2025-26,2026_CERWI_124748_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"SUPERINTENDING ENGINEER, R.W DIVISION, NIMAPARA","O/O THE SUPERINTENDING ENGINEER, R.W.D, NIMAPARA",AOC,"S.E RW Division, Nimapara",Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Rasmita Sahoo,02-Apr-2026 06:35 PM,finsummary_576407.pdf (748.28 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,2026_CERWI_124748_4,Tender Online Divn.NPR-12/2025-26,Periodical Maintenance of L-23- Dakhinapantalo Road for the year 2025-26,1.0,3364292.0,BANSHI DHAR LENKA,INR,"1,354,034.67",Finance,Opened,Rasmita Sahoo,30-Jan-2026 10:24 AM,,BOQ Comparative Chart,02-Apr-2026,"INR 1,354,034.67",90.0,Mausumi Mishra,05-May-2026 07:01 PM,L23.pdf (772.00 KB),1,3364292,BANSHI DHAR LENKA,23-Jan-2026 06:14 PM,Accepted-AOC,Work has been awarded to in lottery system,05-May-2026 07:01 PM,"S.E RW Division, Nimapara",Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Rasmita Sahoo,03-Mar-2026 12:28 PM,techsummary_576407.pdf (748.28 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3364329,SUSHANT NAYAK,23-Jan-2026 06:57 PM,Rejected-Finance,Not Selected in lottery system,02-Apr-2026 06:35 PM,,,,,,,AOC
