S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation and affidavit towards Correctness Certificate",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 04 of 2025-26,2025_CERWI_119523_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,15-Oct-2025 04:00 PM,29-Oct-2025 11:00 AM,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,16-Oct-2025 09:00 AM ,24-Oct-2025 03:00 PM ,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,S/R to Paladhuabandha Gadaharishpur RD road to Gateswarpur Road for the year 2025-26,S/R to Paladhuabandha Gadaharishpur RD road to Gateswarpur Road for the year 2025-26,Please refer Tender documents. ,NA ,"25,17,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,"25,170",Yes,fixed,,Nil,Nil,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,","6,000",0.0,Nil,Nil,No,AOC,eerwd,Internal,,Dipika Majhi,06-May-2026 01:32 PM,finsummary_556234.pdf (743.86 KB),eerwd,Internal,,Dipika Majhi,04-Jan-2026 11:22 AM,techsummary_556234.pdf (733.28 KB),1.0,3143014.0,SAMIR SEKHAR SWAIN,INR,"2,139,733",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_119523_28,Tender Online - 04 of 2025-26,S/R to Paladhuabandha Gadaharishpur RD road to Gateswarpur Road for the year 2025-26,1,3157055,BALARAM PRADHAN,27-Oct-2025 07:09 AM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,12-May-2026,"INR 2,139,733",30.0,Dipika Majhi,12-May-2026 01:08 PM,8658.pdf (2122.00 KB),AoC,Finance,Summary,Dipika Majhi,04-Jan-2026 11:14 AM,finance_556234.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3161594,BANDANA BEHERA,28-Oct-2025 01:28 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3160224,BATAKRUSHNA SETHY,27-Oct-2025 04:32 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3163154,BIKASH MOHANTY,28-Oct-2025 01:23 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3151633,DIPTIMAYEE PARIDA,25-Oct-2025 04:26 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3135369,JASOBANTA LENKA,23-Oct-2025 06:39 AM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3143642,M/S. SANJAY KUMAR PARIDA,22-Oct-2025 06:16 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3148613,M/S SUSIL MALLICK,24-Oct-2025 05:47 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3151922,NAGENDRA JENA,28-Oct-2025 11:00 AM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3144258,NIRUPAMA BEHERA,22-Oct-2025 09:52 PM,Rejected-Technical,L2 bidder,04-Jan-2026 11:22 AM,,,,,,,,,,,,,,AOC
