Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Tribhuban Kanhar,Internal,"DAO,Estimator",Pravas Ranjan Rout,09-May-2026 01:31 PM,techsummary_560246.pdf (1060.56 KB),1,3202805,Ahalya Patro,09-Nov-2025 10:02 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,09-May-2026,"INR 2,521,103",60.0,Pravas Ranjan Rout,09-May-2026 01:40 PM,8.pdf (1061.00 KB),1.0,3205923.0,HRUSHIKESH SWAIN,INR,"2,521,103",Finance,lottery,Pravas Ranjan Rout,20-Nov-2025 07:50 PM,,BOQ Comparative Chart,Tribhuban Kanhar,Internal,"DAO,Estimator",Pravas Ranjan Rout,09-May-2026 01:35 PM,finsummary_560246.pdf (1060.56 KB),CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,2025_CERWI_120388_8,Online Tender/12/RWDBNJ/2025-26,S/R to NH-217 to Ghasibilli (0/0 to 1/5Km) road under periodical Maintenance for the year 2025-26.,AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, GST, PAN, Electrical JVA and all other Document as per DTCN",31-Oct-2025 06:55 PM,11-Nov-2025 11:00 AM,31-Oct-2025 06:55 PM,10-Nov-2025 03:00 PM,31-Oct-2025 06:55 PM ,07-Nov-2025 03:00 PM ,31-Oct-2025 06:55 PM,10-Nov-2025 03:00 PM,CE RW I||RWCIRCLE-BERHAMPUR||RW Division Bhanjanagar,Online Tender/12/RWDBNJ/2025-26,2025_CERWI_120388_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,S/R to NH-217 to Ghasibilli (0/0 to 1/5Km) road under periodical Maintenance for the year 2025-26.,S/R to NH-217 to Ghasibilli (0/0 to 1/5Km) road under periodical Maintenance for the year 2025-26.,S/R to NH-217 to Ghasibilli (0/0 to 1/5Km) road under periodical Maintenance for the year 2025-26. ,NA ,"29,65,655",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhanjanagar,761126.0,NA ,NA ,NA ,"O/O the S.E, R.W Division, Bhanjanagar",No ,No,"29,700",Yes,fixed,,Nil,Nil,"S.E, R.W Division, Bhanjanagar","O/O the S.E, R.W Division, Bhanjanagar",AOC
,,,,,,2,3183846,AKASH CHANDRA DASH,05-Nov-2025 05:11 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3197964,AKASH KUMAR PANDA,08-Nov-2025 04:43 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3206773,BASUDEB ROUT,10-Nov-2025 01:50 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3204619,B SUBRAT PATRO,10-Nov-2025 01:04 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3204555,DEEPAK MAHANTY,10-Nov-2025 11:17 AM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3201008,Dibakar Jena,09-Nov-2025 03:38 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3186019,D. Pandaba Patro,05-Nov-2025 09:12 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3205923,HRUSHIKESH SWAIN,10-Nov-2025 12:04 PM,Accepted-AOC,Lottery Winner,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3194385,KAILASH CHANDRA BISOYI,07-Nov-2025 04:46 PM,Rejected-AOC,2nd,09-May-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
