EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"13,200",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhadrak Municipality,BM-BDK-07-2025-26,2026_ORULB_125568_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Feb-2026 10:00 AM,19-Feb-2026 11:00 AM,09-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,NA ,NA ,09-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","6,000",0.0,Nil,Nil,No,Executive Officer,"Executive Officer, Bhadrak Municipality",1,ICICI BANK,Construction of Anganwadi Centre at Santhia in Ward No.14,Construction of Anganwadi Centre at Santhia in Ward No.14,Please refer Tender documents. ,NA ,"13,18,158",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,AOC,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,26-May-2026 08:38 PM,finsummary_579984.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,26-May-2026 08:36 PM,techsummary_579984.pdf (240.28 KB),26-May-2026,"INR 1,120,566",90.0,Sourav Chakrabarty,26-May-2026 08:41 PM,33.pdf (318.00 KB),work order issued,1,3397997,Dayanidhi Mohapatra,17-Feb-2026 11:21 AM,Rejected-AOC,Quoted second lowest,26-May-2026 08:41 PM,Municipal Bodies||Bhadrak Municipality,2026_ORULB_125568_33,BM-BDK-07-2025-26,Construction of Anganwadi Centre at Santhia in Ward No.14,1.0,3400168.0,Dinesh Mohapatra,INR,"1,120,566",Finance,ok,Sourav Chakrabarty,20-Feb-2026 01:07 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3400168,Dinesh Mohapatra,18-Feb-2026 12:05 PM,Accepted-AOC,Quoted first lowest,26-May-2026 08:41 PM,,,,,,,,,,,,,,,,AOC
