S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,Tender Revocation,Tender Revocation,31-Jan-2026 02:55 PM,458.pdf ,3150.83,Technical Opening,12-May-2026,"INR 39,606,352",180.0,Priyambada Swain,12-May-2026 05:38 PM,PanibhandarAgmtDetails.pdf (1666.00 KB),"Work order letter No.5805 dtd.08.05.2026 and Agmt No.02 P1 of 2026-27 dtd.08.05.2026 of Superintending Engineer, Rural Works Division, Puri",1,3128290,AMRIT BARAL,15-Oct-2025 09:46 AM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_118169_19,Tender Online C.C-15 of 2025,Improvement to Panibhandar - Patanasahi - Bhalubazar Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,1.0,3129602.0,TUSHAR KANTA NAYAK,INR,"39,606,352",Finance,8 nos bidder qualified in the tender,Priyambada Swain,10-Feb-2026 06:36 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionBhubaneswarSrDAORWDivisionPuriPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,06-Feb-2026 12:34 PM,06-Feb-2026 04:00 PM,techsummary_552950.pdf (879.56 KB),Technical,10 nos bidder participated in the tender,Priyambada Swain,06-Feb-2026 12:29 PM,,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionBhubaneswarSrDAORWDivisionPuriPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,12-May-2026 05:33 PM,finsummary_552950.pdf (240.77 KB),AOC,18-Sep-2025 02:00 PM,17-Oct-2025 11:00 AM,18-Sep-2025 02:00 PM,16-Oct-2025 05:00 PM,NA ,NA ,18-Sep-2025 02:00 PM,16-Oct-2025 05:00 PM,06-Feb-2026 04:00 PM,Improvement to Panibhandar - Patanasahi - Bhalubazar Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,Improvement to Panibhandar - Patanasahi - Bhalubazar Road in the Dist. of Puri under MMSY-Improvement to Existing RD road for the year 2024-25,Please refer Tender documents. ,NA ,"3,96,06,352",Civil Works - Roads,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-15 of 2025,2025_CERWI_118169_19,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date Corrigendum,Date,,1.0,ICICI BANK,"3,96,064",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",AOC
2.0,Tender Revocation2,Tender Revocation,06-Feb-2026 11:38 AM,546.pdf ,640.41,Technical Opening,,,,,,,,2,3130400,ARJUN NAYAK,16-Oct-2025 04:35 PM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",AOC
,,,,,,,,,,,,,,3,3130704,ARUN KUMAR BEHERA,16-Oct-2025 11:47 AM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",AOC
,,,,,,,,,,,,,,4,3131159,BASUDEV CONTECH INDIA PRIVATE LIMITED,16-Oct-2025 02:52 PM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,5,3097069,BISWOJIT PANDA,25-Sep-2025 01:53 PM,Rejected-Technical,As Per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To Tenderers of the DTCN (Supression of Facts),06-Feb-2026 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,6,3128967,DILLIP KUMAR SWAIN,15-Oct-2025 09:00 PM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,7,3130003,MAA JAY DURGA CONSTRUCTION,15-Oct-2025 07:32 PM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,8,3130418,MANORANJAN RAUT,16-Oct-2025 04:12 PM,Rejected-Finance,Other than winner of the transparent lottery system,12-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,9,3130485,SUMANTA KUMAR SAHOO,16-Oct-2025 07:27 AM,Rejected-Technical,As Per Clause No.3.17 of the Procedure to participate in online bidding e-procurement of the DTCN (Fabricated/ False document),06-Feb-2026 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,10,3129602,TUSHAR KANTA NAYAK,16-Oct-2025 11:08 AM,Accepted-AOC,Accepted,12-May-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
