S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3344571.0,Anil Agrawal,INR,"11,603,030",Technical,Bid opening summary,Santosh Kumar Behera,12-Jan-2026 02:00 PM,technical_573435.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_123855_3,CCEKC - 18 / 2025-26,Construction of Compound wall and periphery Development of Ragangpur (R and B) Sub-Division in the district of Sundergarh,Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,25-May-2026 11:54 AM,finsummary_573435.pdf (101.48 KB),Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,12-Feb-2026 11:25 AM,16-Feb-2026 11:30 AM,techsummary_573435.pdf (1726.82 KB),Finance,Bid opening summary,Santosh Kumar Behera,16-Feb-2026 12:43 PM,finance_573435.pdf,BOQ Comparative Chart,25-May-2026,"INR 11,603,030",180.0,Santosh Kumar Behera,25-May-2026 11:58 AM,AOCCompoundwallPertiphery.pdf (492.00 KB),1st Lowest Bidder Winner of Lottery,1,3349395,ABDUL HALIM SIDDIQUE,08-Jan-2026 11:02 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 18 / 2025-26,2025_EICCL_123855_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Compound wall and periphery Development of Ragangpur (R and B) Sub-Division in the district of Sundergarh,Construction of Compound wall and periphery Development of Ragangpur (R and B) Sub-Division in the district of Sundergarh,Please refer Tender Documents ,NA ,"1,36,49,017",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",1.0,ICICI BANK,"1,36,500",Yes,fixed,,Nil,Nil,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001","10,000",0.0,Nil,Nil,No,26-Dec-2025 11:00 AM,12-Jan-2026 11:30 AM,26-Dec-2025 11:00 AM,09-Jan-2026 04:00 PM,NA ,NA ,26-Dec-2025 11:00 AM,09-Jan-2026 04:00 PM,16-Feb-2026 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3349793,ADARSH CONSTRUCTION PROP.ADARSH AGARWAL,09-Jan-2026 01:44 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3349477,AJAY KUMAR AGRAWAL,09-Jan-2026 02:53 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3344571,Anil Agrawal,05-Jan-2026 09:55 AM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,25-May-2026 11:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3349227,BISWAJEET PATTNAIK,09-Jan-2026 02:51 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3348737,DEBASISH PADHAN,09-Jan-2026 03:27 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3349965,DHANLAXMI ESTABLISHMENT PRIVATE LIMITED,09-Jan-2026 03:43 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3349986,DINESH KUMAR PANY,09-Jan-2026 03:57 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3347485,ENGICONS ASSOCIATES,08-Jan-2026 06:12 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3349623,HIMANSU SEKHAR PANDA,09-Jan-2026 12:35 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3349490,JYOTI RANJAN RAUT,09-Jan-2026 11:45 AM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3349927,KIRTIMEGHA PARIJA,09-Jan-2026 03:26 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3348905,Pankaj Kumar Agrawal,08-Jan-2026 02:51 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3349211,PRUTHIRAJ PATTANAIK,09-Jan-2026 03:11 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3350000,RAVI KU JHA,09-Jan-2026 03:59 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3349989,RIZWAN RAZA,09-Jan-2026 03:54 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3349288,SAHOO AND SONS,08-Jan-2026 07:19 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3349203,SAKET KUMAR AGRAWAL,08-Jan-2026 06:05 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3348918,SOURAV LENKA,08-Jan-2026 08:53 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3349387,SRIJAN CONSTRUCTION,08-Jan-2026 09:32 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3345922,SUBHALAGNA CONSTRUCTION,06-Jan-2026 02:55 PM,Rejected-Technical,As per decision of tender evaluation committee.,12-Feb-2026 11:25 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3349355,SUBODH SAHOO,08-Jan-2026 08:48 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3343261,SUBRAT PANDA,03-Jan-2026 01:06 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3349427,SURAJ BUILDER,08-Jan-2026 10:58 PM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3349405,SUSHANTA KUMAR SUNA,09-Jan-2026 11:32 AM,Rejected-Finance,1st Lowest bidder Looser of Lottery,25-May-2026 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
