Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Improvement of road from HotelSonali front(near stationroad) fromSusilaDeviLane10 nearBarambar Plaza,Hotel Asiyana INNroad,from HotelGoldenNestto Backside Hotel Chancellor,HotelChancellor side of Prusty HotelRoad toLane9Road02 to Pot 83/1in Ward no41","Improvement of road from HotelSonali front(near stationroad) fromSusilaDeviLane10 nearBarambar Plaza,Hotel Asiyana INNroad,from HotelGoldenNestto Backside Hotel Chancellor,HotelChancellor side of Prusty HotelRoad toLane9Road02 to Pot 83/1in Ward no41",Please refer Tender documents. ,NA ,"48,91,395",Civil Works - Roads,NA ,Tender,120.0,90.0,BMC Area,751022.0,"Office Chamber of EE Central Tender Cell,BMC ","UG Floor,Office Chamber of EE Central Tender Cell,BMC ",09-Dec-2025 04:00 PM ,"Central Tender Cell,BMC",No ,No,"6,000",0.0,Nil,Nil,No,"49,000",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,2025_ORULB_122487_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-Dec-2025 11:00 AM,15-Dec-2025 03:30 PM,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,04-Dec-2025 11:00 AM ,09-Dec-2025 01:30 PM ,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,Executive Engineer (Central Tender Cell),"Central Tender Cell,ICOMC Tower,BMC",AOC,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONIII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,05-May-2026 12:23 PM,techsummary_569135.pdf (2402.35 KB),City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONIII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,05-May-2026 12:33 PM,finsummary_569135.pdf (4544.39 KB),Finance,13 bids opened successfully,Taras Marandi,15-Dec-2025 04:55 PM,finance_569135.pdf,BOQ Comparative Chart,05-May-2026,"INR 4,906,646",90.0,Lipsa Parida,05-May-2026 12:42 PM,WO_50_22.pdf (268.00 KB),1,3299445,ABHIJIT MOHAPATRA,13-Dec-2025 01:04 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_122487_22,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,"Improvement of road from HotelSonali front(near stationroad) fromSusilaDeviLane10 nearBarambar Plaza,Hotel Asiyana INNroad,from HotelGoldenNestto Backside Hotel Chancellor,HotelChancellor side of Prusty HotelRoad toLane9Road02 to Pot 83/1in Ward no41",1.0,3295710.0,SUBHENDU KUMAR SWAIN,INR,"4,906,646",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3294613,AMAL KIRAN SATAPATHY,11-Dec-2025 10:56 AM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3286801,Ashit Kumar Pattnaik,13-Dec-2025 08:24 AM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3294392,BIJAYA KUMAR PARIDA,11-Dec-2025 11:57 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3285294,Lokanath Mohanty,07-Dec-2025 04:22 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3299371,M/S OMM SAI ASSOCIATES,13-Dec-2025 01:07 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3298052,M/S SATYAM AGENCY (PROPRIETOR) SMT. ROJALINI RATH,12-Dec-2025 04:34 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3300492,RAJASHREE DASH,14-Dec-2025 08:12 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3297509,RAJENDRA KUMAR MALLICK,14-Dec-2025 02:36 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3301157,SAMBEET SAHOO,14-Dec-2025 01:36 PM,Rejected-Finance,Rejected,05-May-2026 12:33 PM,,,,,,,,,,AOC
