EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"7,770",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN Regd Cert, GSTIN, No Relation and Affidavit Towards Correctness certificate",31-Jan-2026 06:00 PM,11-Feb-2026 11:00 AM,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,02-Feb-2026 10:00 AM ,09-Feb-2026 03:00 PM ,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 11 of 2025-26,2026_CERWI_125323_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",S/R to Pipal Madhav to manijanga Erasama Road via Batilo Road for the year 2025-26.,S/R to Pipal Madhav to manijanga Erasama Road via Batilo Road for the year 2025-26.,Please refer Tender documents. ,NA ,"7,77,000",Civil Works - Roads,NA ,Tender,60.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,AOC,"SE,RW Division JSPR",Internal,,Jyotirmayee Mallick,12-May-2026 11:53 AM,finsummary_578638.pdf (1603.40 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2026_CERWI_125323_4,Tender Online - 11 of 2025-26,S/R to Pipal Madhav to manijanga Erasama Road via Batilo Road for the year 2025-26.,1.0,3388347.0,NAYAK ENTERPRISES,INR,"671,256",Finance,Evaluation Sheet,Jyotirmayee Mallick,18-Feb-2026 04:09 PM,finance_578638.pdf,BOQ Comparative Chart,1,3388991,ANIL KUMAR PATRA,09-Feb-2026 08:58 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,12-May-2026,"INR 671,256",30.0,Jyotirmayee Mallick,12-May-2026 11:58 AM,1838.pdf (1603.00 KB),"SE,RW Division JSPR",Internal,,Jyotirmayee Mallick,12-May-2026 11:49 AM,techsummary_578638.pdf (763.47 KB),AOC
,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3388739,BIBHUTI BHUSAN RAY,10-Feb-2026 02:44 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3386334,BIJAYA BHOL,08-Feb-2026 06:19 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3386227,BIKRAM KISHOR ROUT,08-Feb-2026 05:21 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3390839,BISHAL PATRA,10-Feb-2026 03:11 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3388347,NAYAK ENTERPRISES,09-Feb-2026 05:29 PM,Accepted-AOC,Successful Bidder,12-May-2026 11:58 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3384565,NIKUNJA KISHORE KHUNTIA,08-Feb-2026 10:40 AM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3386758,PRADEEP KUMAR DAS,09-Feb-2026 10:10 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3386188,PRITIRANJAN DASH,08-Feb-2026 04:37 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3387918,RAGHUNATH BEHERA,09-Feb-2026 05:23 PM,Rejected-Technical,L2,12-May-2026 11:49 AM,,,,,,,,,,,,,AOC
