Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,18-May-2026 11:30 AM,techsummary_584769.pdf (780.43 KB),1,3431685,M/s CHOUDHURY ENTERPRISES,17-Mar-2026 11:21 AM,Accepted-AOC,Win due to 1st lowest,18-May-2026 11:40 AM,18-May-2026,"INR 808,637",365.0,Somanath Tripathy,18-May-2026 11:40 AM,31.pdf (780.00 KB),Contract Awarded to Smt / Sri Choudhury Enterprises,1.0,3431685.0,M/s CHOUDHURY ENTERPRISES,INR,"808,637",Finance,"3Nos of bidders are participants, Tender under scrutiny.",Somanath Tripathy,19-Mar-2026 11:26 AM,finance_584769.pdf,BOQ Comparative Chart,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,18-May-2026 11:34 AM,finsummary_584769.pdf (780.43 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2026_EICCL_127154_1,SE R and B Divn NoI Bam 67/2025-26,Comprehensive maintenance for installed air condition at DHH City hospital and CDMO office building,AOC,"12,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE R and B Divn NoI Bam 67/2025-26,2026_EICCL_127154_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,11-Mar-2026 03:00 PM,18-Mar-2026 11:30 AM,11-Mar-2026 03:00 PM,17-Mar-2026 04:00 PM,11-Mar-2026 03:00 PM ,17-Mar-2026 04:00 PM ,11-Mar-2026 03:00 PM,17-Mar-2026 04:00 PM,1.0,ICICI BANK,Comprehensive maintenance for installed air condition at DHH City hospital and CDMO office building,Comprehensive maintenance for installed air condition at DHH City hospital and CDMO office building,NA ,NA ,"12,83,550",Electrical Works,NA ,Tender,90.0,365.0,Ganjam,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,AOC
,,,,,,2,3434185,SAHOO ENGINEERING SERVICES,17-Mar-2026 12:41 PM,Rejected-AOC,Reject due to 3rd lowest,18-May-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3434468,SHIBASHIS PANIGRAHI,17-Mar-2026 03:14 PM,Rejected-AOC,Reject due to 2nd lowest,18-May-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
