S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3099943.0,SRINIBASH MISHRA,INR,"53,328,665",CCE NC SBP,Internal,,Hemant Naik,13-May-2026 05:52 PM,finsummary_552146.pdf (3055.21 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_117912_3,CCENC(RandB) /06/ 2025-26,Improvement such as widening and strengthening of Mahantpur to Tantagarh via Sudamunda road from 0-000 km to 4-890 km in the district of Sambalpur under State Plan for the year 2025-26,Technical,TECHNICAL BID OPENED,Hemant Naik,04-Oct-2025 05:29 PM,,Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,19-Dec-2025 07:26 PM,,BOQ Comparative Chart,CCE NC SBP,Internal,,SUCHISMITA SAHU,17-Dec-2025 07:41 PM,19-Dec-2025 05:00 PM,techsummary_552146.pdf (419.08 KB),1,3083365,ABAKASH MISHRA,16-Sep-2025 12:43 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,13-May-2026,"INR 53,328,665",270.0,Hemant Naik,13-May-2026 05:59 PM,AGTMAHANT.pdf (1825.00 KB),AGT DRAWN,AOC,Improvement such as widening and strengthening of Mahantpur to Tantagarh via Sudamunda road from 0-000 km to 4-890 km in the district of Sambalpur under State Plan for the year 2025-26,ROAD WORK,Please refer Tender documents. ,NA ,"6,27,32,226",Civil Works - Roads,DRAIN ,Tender,90.0,270.0,SAMBALPUR,768106.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR","6,27,400",Yes,fixed,,Nil,Nil,11-Sep-2025 06:00 PM,26-Sep-2025 11:00 AM,11-Sep-2025 06:00 PM,25-Sep-2025 05:00 PM,11-Sep-2025 06:00 PM ,18-Sep-2025 05:00 PM ,11-Sep-2025 06:00 PM,25-Sep-2025 05:00 PM,19-Dec-2025 05:00 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC(RandB) /06/ 2025-26,2025_EICCL_117912_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3099449,Anil Kumar Mishra,25-Sep-2025 08:05 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3098885,Ashok Kumar Jalan,24-Sep-2025 06:59 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3098130,DHANESWAR SAHU,24-Sep-2025 11:37 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3100023,ER. MOHIT KUMAR JAIN,25-Sep-2025 12:54 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3099401,KHIROD KUMAR SETHI,25-Sep-2025 07:53 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3100469,KRUTIBAS MISHRA,25-Sep-2025 04:54 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3090404,LAXMAN PRADHAN,20-Sep-2025 02:23 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,17-Dec-2025 07:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3077151,MAHENDRA SAHOO,25-Sep-2025 11:48 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3099261,M.J.CONSTRUCTION,25-Sep-2025 11:39 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3091250,"M/S SHIBAJI CONSTRUCTION, PROP. KHAGESWAR BEHERA",20-Sep-2025 07:00 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3097410,M/S SUMEET & ASSOCIATES,24-Sep-2025 06:25 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3097729,PRASANTA KUMAR SAMANTRAY,23-Sep-2025 09:00 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3099233,PRITISH MISHRA,25-Sep-2025 08:49 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3099773,PYARIMOHAN PRADHAN,25-Sep-2025 11:47 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3087178,Ramnarayan Mishra,19-Sep-2025 10:19 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3099188,RUPESH CHANDRA PRADHAN,24-Sep-2025 09:43 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,13-May-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
