Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,ok,TAPASA KUMAR SAMAL,08-Aug-2025 11:54 AM,,BOQ Comparative Chart,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,27-May-2026 07:56 PM,techsummary_546650.pdf (240.28 KB),27-May-2026,"INR 242,835",90.0,Sourav Chakrabarty,27-May-2026 08:04 PM,101.pdf (2091.00 KB),work order issued,Municipal Bodies||Bhadrak Municipality,2025_ORULB_115568_101,BM-BDK-05-2025-26,Const of Paver Road From Futa Tailor house towards Nasim Tailor house at Kantabania in ward no-16,1,3020722,Rajesh Sethi,02-Aug-2025 03:47 PM,Accepted-AOC,Quoted first lowest,27-May-2026 08:04 PM,1.0,3020722.0,Rajesh Sethi,INR,"242,835",Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,27-May-2026 07:59 PM,finsummary_546650.pdf (240.28 KB),AOC,1,ICICI BANK,Executive Officer,"Executive Officer, Bhadrak Municipality",Municipal Bodies||Bhadrak Municipality,BM-BDK-05-2025-26,2025_ORULB_115568_101,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Jul-2025 10:00 AM,04-Aug-2025 11:00 AM,24-Jul-2025 10:00 AM,02-Aug-2025 05:00 PM,NA ,NA ,24-Jul-2025 10:00 AM,02-Aug-2025 05:00 PM,"2,600",Yes,fixed,,Nil,Nil,Const of Paver Road From Futa Tailor house towards Nasim Tailor house at Kantabania in ward no-16,Const of Paver Road From Futa Tailor house towards Nasim Tailor house at Kantabania in ward no-16,Please refer Tender documents. ,NA ,"2,55,589",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,3020938,RATH MUNDA,01-Aug-2025 09:06 PM,Rejected-AOC,Quoted second lowest,27-May-2026 08:04 PM,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,AOC
