S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3386252.0,KUSUMLATA AGRAWAL,INR,"503,528",Finance,14nos bidders,Rajendra Majhi,13-Feb-2026 06:05 PM,finance_578182.pdf,BOQ Comparative Chart,RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 11:44 AM,finsummary_578182.pdf (213.77 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_125179_5,EETIG-ONLINE-15-2025-26,"SR to Sireikela Goudtola RD road to Kanarla road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, Bush cutting under Titilagarh Block for the year 2025-26",RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,08-May-2026 11:40 AM,techsummary_578182.pdf (213.77 KB),1,3388463,ADHYAN INFRA,09-Feb-2026 09:04 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,08-May-2026,"INR 503,528",180.0,Rajendra Majhi,08-May-2026 11:46 AM,7.pdf (214.00 KB),AOC,"5,040",Yes,fixed,,Nil,Nil,30-Jan-2026 11:00 AM,11-Feb-2026 11:00 AM,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,30-Jan-2026 11:00 AM ,09-Feb-2026 11:00 AM ,30-Jan-2026 11:00 AM,10-Feb-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,"SR to Sireikela Goudtola RD road to Kanarla road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, Bush cutting under Titilagarh Block for the year 2025-26","SR to Sireikela Goudtola RD road to Kanarla road Pothole Repair, side shoulder repairing, Berm dressing, CD parapet white washing, Bush cutting under Titilagarh Block for the year 2025-26",PLEASE REFER TENDER DOCUMENTS ,NA ,"5,04,032",Civil Works - Roads,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS",1.0,ICICI BANK,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-15-2025-26,2026_CERWI_125179_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3387699,BASANTA TRIPATHY,09-Feb-2026 03:15 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"NO RELATION CERTIFICATE, LABOUR LICENSE AND OTHER RELATED DOCUMENTS AS PER DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3386617,BASANT KUMAR JAIN,09-Feb-2026 01:18 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3386200,DEBAKI NANDAN AGRAWAL,08-Feb-2026 04:28 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3388608,DUSILA SAHU,09-Feb-2026 07:25 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3386252,KUSUMLATA AGRAWAL,08-Feb-2026 05:20 PM,Accepted-AOC,AOC,08-May-2026 11:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3387400,MANJU AGRAWL,10-Feb-2026 11:03 AM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3391011,MURARI PRASAD MISHRA,10-Feb-2026 03:39 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3388472,NANDA KISHOR AGRAWAL,09-Feb-2026 08:19 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3388507,NIRMALA BEHERA,10-Feb-2026 12:07 PM,Rejected-Finance,NOT WINE THE LOTTERY,08-May-2026 11:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
