S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,Improvement of Road and Drain with laying of Cover Slab at Mahabir pada Gali in Ward No-10,Improvement of Road and Drain with laying of Cover Slab at Mahabir pada Gali in Ward No-10,Please refer Tender documents. ,NA ,"5,63,561",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,Municipal Bodies||Bhawanipatna Municipality,BPM/07/2025-26,2026_ORULB_126263_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","5,700",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,Extension of date,Date,,19-Feb-2026 02:00 PM,09-Mar-2026 05:30 PM,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,NA ,NA ,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,CP,Internal,,Pramod Kumar Padhi,15-May-2026 01:24 PM,techsummary_581874.pdf (323.27 KB),CP,Internal,,Pramod Kumar Padhi,15-May-2026 03:47 PM,finsummary_581874.pdf (323.27 KB),Finance,accepted,Pramod Kumar Padhi,11-May-2026 06:02 PM,,BOQ Comparative Chart,Municipal Bodies||Bhawanipatna Municipality,2026_ORULB_126263_22,BPM/07/2025-26,Improvement of Road and Drain with laying of Cover Slab at Mahabir pada Gali in Ward No-10,1.0,3417243.0,CHINMAYA GOUD,INR,"562,993.46",1,3417243,CHINMAYA GOUD,09-Mar-2026 11:00 AM,Accepted-AOC,Awarded,15-May-2026 03:49 PM,15-May-2026,"INR 562,993.46",30.0,Pramod Kumar Padhi,15-May-2026 03:49 PM,41proceeding.pdf (323.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3417187,M/s BHARAT BHUSHAN GAHIR,03-Mar-2026 06:54 PM,Rejected-AOC,L2,15-May-2026 03:49 PM,,,,,,,AOC
