S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST, PAN Affidavit, License as per DTCN","8,400",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,E PROCUREMENT NOTICE NO.RWD-II/KPD-10/25-26,2025_CERWI_120343_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Ghadiamal to Daruora road for the year 2025-26,S/R to Ghadiamal to Daruora road for the year 2025-26,Please refer Tender documents. ,NA ,"8,40,000",Civil Works - Roads,NA ,Tender,30.0,NA ,Kendrapda,754212.0,NA ,NA ,NA ,"S.E R.W Division-II, Kendrapara, near New Medical",No ,No,30-Oct-2025 03:00 PM,11-Nov-2025 11:00 AM,30-Oct-2025 03:00 PM,10-Nov-2025 05:00 PM,30-Oct-2025 03:00 PM ,07-Nov-2025 05:00 PM ,30-Oct-2025 03:00 PM,10-Nov-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,"SE R.W Division-II, Kendrapara","S.E R.W Division-II, Kendrapara, near New Medical",AOC,"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,02-Feb-2026 12:23 PM,techsummary_560072.pdf (220.33 KB),"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,02-Feb-2026 12:27 PM,finsummary_560072.pdf (220.33 KB),Finance,Admitted,Suraj Biswal,02-Feb-2026 12:20 PM,finance_560072.pdf,BOQ Comparative Chart,27-May-2026,"INR 713,298",30.0,Suraj Biswal,27-May-2026 04:45 PM,ghadiamal.pdf (833.00 KB),CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,2025_CERWI_120343_21,E PROCUREMENT NOTICE NO.RWD-II/KPD-10/25-26,S/R to Ghadiamal to Daruora road for the year 2025-26,1.0,3193092.0,HIMANSU BHUSAN PANI,INR,"713,298",1,3200731,Anath Kumar Pradhan,09-Nov-2025 12:53 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3205282,ANIL KUMAR DAS,10-Nov-2025 12:59 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3181836,DIPAK KUMAR DAS Prop. M/S RENUKA CONSTRUCTION,04-Nov-2025 06:51 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3193092,HIMANSU BHUSAN PANI,09-Nov-2025 09:56 AM,Accepted-AOC,winner,27-May-2026 04:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3173905,JAGANNATHA DAS,02-Nov-2025 12:39 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3205250,MIR AETSAM UL HAQ,10-Nov-2025 02:22 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3204703,MRUTYUNJAY GAPEI,10-Nov-2025 02:52 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3206156,PAYAL CONSTRUCTION PROP. SMT PRAMODINI ROUT,10-Nov-2025 12:29 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3194786,SASMITA ROUT,07-Nov-2025 06:05 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3195457,SUJATA PRUSTY,07-Nov-2025 08:55 PM,Rejected-Finance,Not Qualified,02-Feb-2026 12:27 PM,AOC
