Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_115810_39,ITDAGNP-01/2025-26,"Construction of Dormitory at Govt. Boys HIGH SCHOOL, Chandrapur under Chandrapur Block",1.0,3022362.0,Balaram Panigrahi,INR,"2,282,634.63",1,3022984,ABHISHEK SAHU,05-Aug-2025 10:25 AM,Rejected-Finance,Not Success in the Lottery Process,21-May-2026 08:31 PM,21-May-2026,"INR 2,282,634.63",180.0,Ajaya Kumar Pradhan,21-May-2026 08:33 PM,2252.pdf (322.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,24-Aug-2025 10:14 AM,25-Aug-2025 11:00 AM,techsummary_546885.pdf (156.74 KB),Finance,proceeding,Ajaya Kumar Pradhan,21-May-2026 08:28 PM,finance_546885.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,21-May-2026 08:31 PM,finsummary_546885.pdf (596.34 KB),Technical,Technical Evalation,Ajaya Kumar Pradhan,24-Aug-2025 10:13 AM,technical_546885.pdf,AOC,"6,000",0.0,Nil,Nil,No,"26,852",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Papercost, EMD,Contractor license,Affidavit,PAN,GSTIN and other document as per DTCN","Construction of Dormitory at Govt. Boys HIGH SCHOOL, Chandrapur under Chandrapur Block","Construction of Dormitory at Govt. Boys HIGH SCHOOL, Chandrapur under Chandrapur Block",Please refer Tender documents. ,NA ,"26,85,191",Civil Works - Buildings,NA ,Tender,90.0,180.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-01/2025-26,2025_STSCD_115810_39,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"O/o Project Administrator, ITDA, Gunupur","O/o Project Administrator, ITDA, Gunupur",1.0,ICICI BANK,22-Jul-2025 05:00 PM,06-Aug-2025 11:00 AM,22-Jul-2025 05:00 PM,05-Aug-2025 05:00 PM,22-Jul-2025 05:00 PM ,05-Aug-2025 05:00 PM ,22-Jul-2025 05:00 PM,05-Aug-2025 05:00 PM,25-Aug-2025 11:00 AM,AOC
,,,,,,,,,2,3022362,Balaram Panigrahi,04-Aug-2025 11:27 AM,Accepted-AOC,Awarded to Lowest 1,21-May-2026 08:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,3,3023481,SIBASIS SAHU,05-Aug-2025 12:31 AM,Rejected-Finance,Not Success in the Lottery Process,21-May-2026 08:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
