Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,e-Procurement BID ID No. 06 EELID (KJR/2025-26),2026_OLIC_124060_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,02-Jan-2026 10:00 AM,09-Jan-2026 10:00 AM,02-Jan-2026 10:00 AM,08-Jan-2026 05:00 PM,02-Jan-2026 10:00 AM ,06-Jan-2026 05:00 PM ,02-Jan-2026 10:00 AM,08-Jan-2026 05:00 PM,12-Jan-2026 01:30 PM,"52,357",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"PAPER COST,EMD,PAN,GSTIN,AFFIDAVIT,LICENSE COPY, HT LICENSE, JOINT VENTURE AND OTHER AS PER DTCN",1,ICICI BANK,"Executive Engineer, L.I. Division, Keonjhar","At/Po- Dhrupada, Via- Raisuan, Dist- Keonjhar","11,800",0.0,Nil,Nil,No,"Drilling, installation, electrification and energisation of Gadabandhagoda-I,II and III TW L.I. Project under Ghasipura block in Keonjhar district","Drilling, installation, electrification and energisation of Gadabandhagoda-I,II and III TW L.I. Project under Ghasipura block in Keonjhar district",Please refer Tender documents. ,NA ,,Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,120.0,Keonjhar,758001.0,NA ,NA ,NA ,"Office of the E.E., L.I. Division, Keonjhar",No ,No,AOC,Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,12-Jan-2026 01:12 PM,12-Jan-2026 01:30 PM,techsummary_573985.pdf (545.81 KB),1.0,3347639.0,SANTOSH KUMAR DAS,INR,"5,229,950",Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,2026_OLIC_124060_1,e-Procurement BID ID No. 06 EELID (KJR/2025-26),"Drilling, installation, electrification and energisation of Gadabandhagoda-I,II and III TW L.I. Project under Ghasipura block in Keonjhar district",Finance,There is one no. bidder in this package. As it is second time single tender it may be accepted,BADAL CHANDRA CHOUDHURY,15-May-2026 11:11 AM,,BOQ Comparative Chart,Technical,Two nos. bidder participated in this tender and all are accepted,BADAL CHANDRA CHOUDHURY,12-Jan-2026 10:56 AM,,1,3347639,SANTOSH KUMAR DAS,07-Jan-2026 01:40 PM,Accepted-AOC,Work order issued after agreement,15-May-2026 11:23 AM,Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,15-May-2026 11:15 AM,finsummary_573985.pdf (545.81 KB),15-May-2026,"INR 5,229,950",120.0,BADAL CHANDRA CHOUDHURY,15-May-2026 11:23 AM,WO.pdf (2154.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BILL OF QUANTITY,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3347710,TANMAYA KUMAR JENA,08-Jan-2026 01:32 PM,Rejected-Technical,Validity of HT license mismatch with license copy and Joint Venture and Invalid Insurance copy of Rig,12-Jan-2026 01:12 PM,,,,,,,,,,,,,AOC
