Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Admitted,Kuldeep Kumar,06-Jan-2026 02:02 PM,finance_566255.pdf,BOQ Comparative Chart,Chairman Rayagada ULB,Internal,"Executive Officer,Municipal Engineer,Auditor of Rayagad ULB,ACTO Rayagada",Kuldeep Kumar,06-Jan-2026 12:43 PM,06-Jan-2026 01:00 PM,techsummary_566255.pdf (456.25 KB),11-May-2026,INR 449,365.0,Kuldeep Kumar,11-May-2026 09:40 AM,BioProceeding.pdf (1775.00 KB),Processing of RDF at 439 rupees per MT and Transportation at 10 rupees per MT per KM.,1.0,3281549.0,GLOBALTECH ENVIRO EXPERTS PRIVATE LIMITED,19-Dec-2025 02:22 PM,Rejected-Finance,Not Qualify,11-May-2026 09:13 AM,1.0,3281070.0,JHANESWARA ENGINEERING PRIVATE LIMITED,INR,449.0,CHAIRMAN RAYAGADA MUNICIPALITY,Internal,,Kuldeep Kumar,11-May-2026 09:13 AM,finsummary_566255.pdf (521.03 KB),Municipal Bodies||Rayagada Municipality,2025_ORULB_121714_1,RGDA-MUN-06/2025-26,"Bio-mining of Legacy waste at existing dump site near Maa Majhighariani Temple, under Rayagada Municipality, Odisha.",Technical,All bidders are admitted.,Kuldeep Kumar,20-Dec-2025 04:46 PM,,AOC,"4,00,000",Yes,fixed,,Nil,Nil,"Executive Officer, Rayagada Municipality.",Rayagada Municipality Office.,"10,000",0.0,Nil,Nil,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-06/2025-26,2025_ORULB_121714_1,Yes,National Competitive Bid,Item Wise,Services,2.0,No,Yes,Online,No,No,No,1.0,Critical dates and other important documents,Date,,"Bio-mining of Legacy waste at existing dump site near Maa Majhighariani Temple, under Rayagada Municipality, Odisha.","Bio-mining of Legacy waste at existing dump site near Maa Majhighariani Temple, under Rayagada Municipality, Odisha.",Please refer Tender documents. ,NA ,"3,19,00,000",Handling and Transportation,NA ,Tender,90.0,NA ,"Rayagada Municipality, Rayagada",765001.0,NA ,NA ,NA ,Rayagada Munucipality Office,No ,No,1,Eligibility Criteria ,E01-Bid Cost ,E01-Bid Cost ,,1.0,ICICI BANK,21-Nov-2025 03:00 PM,20-Dec-2025 12:00 PM,21-Nov-2025 03:00 PM,19-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 03:00 PM,19-Dec-2025 05:00 PM,06-Jan-2026 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,2.0,3281070.0,JHANESWARA ENGINEERING PRIVATE LIMITED,18-Dec-2025 08:20 PM,Accepted-AOC,As lowest bidding on Processing of RDF at 439 rupees per MT and Transportation at 10 rupees per MT per KM.,11-May-2026 09:41 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Enclosure of additional document format,Technical Bid,,,,,,,,,,,,,,,,,,,,2,Eligibility Criteria ,E02-Bid Security ,E02-Bid Security ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC
,,,,,,,,,,,,,,,,,,,,3.0,3292772.0,Rohini Fire Safety Pvt Ltd,19-Dec-2025 02:09 PM,Rejected-Finance,Not Qualify,11-May-2026 09:13 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Eligibility Criteria ,E03-Bid Security Declaration_Schedile-I ,E03-Bid Security Declaration_Schedile-I ,BidSecurity_Declaration_Schedule_I.pdf,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Eligibility Criteria ,E04-Registration Certificate ,E04-Registration Certificate ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Eligibility Criteria ,E05-GSTIN ,E05-GSTIN ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Eligibility Criteria ,E06-No Relationship Certificate_Schedule-A ,E06-No Relationship Certificate_Schedule-A ,No_Relationship_Certificate_Schedule_A.pdf,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Eligibility Criteria ,E09-CurrentLitigation_Schedule- E ,E09-CurrentLitigation_Schedule- E ,Current_Litigation_Schedule_E.pdf,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Eligibility Criteria ,E10- Affidavit_Schedule-F ,E10- Affidavit_Schedule-F ,AffidavitSchedule_F.pdf,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Legal Document ,01.PAN ,Parmanent Account No. ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Legal Document ,02.GST ,GSTIN ,,,,,,,,,,,,,,,,,AOC
