Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",0.0,Nil,Nil,No,"S E RWD-II,NAYAGARH",NEAR DRDA NGRH,1.0,ICICI BANK,SR to D type quarter at GHD Satapatana for the year 2025-26,BLDG WORKS,Please refer Tender documents. ,NA ,"2,12,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,NAYAGARH,752069.0,NA ,NA ,NA ,NAYAGARH,No ,No,CE RW I||RWCIRCLE-BHUBANESWAR||RW Division Nayagarh-II,ONLINE TENDER 04/ RWD-II/2025-26,2025_CERWI_120896_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Nov-2025 09:00 AM,24-Nov-2025 11:00 AM,07-Nov-2025 09:00 AM,20-Nov-2025 05:00 PM,07-Nov-2025 09:00 AM ,20-Nov-2025 05:00 PM ,07-Nov-2025 09:00 AM,20-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,RC as per DTCN","2,120",Yes,fixed,,Nil,Nil,AOC,"S E RWD-II,NAYAGARH",Internal,"DAO, AE ESTR",Divya Rani Prusty,19-May-2026 12:39 PM,techsummary_562436.pdf (401.02 KB),"S E RWD-II,NAYAGARH",Internal,"DAO, AE ESTR",Divya Rani Prusty,19-May-2026 12:45 PM,finsummary_562436.pdf (401.02 KB),Finance,CS,Divya Rani Prusty,19-May-2026 12:36 PM,finance_562436.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-BHUBANESWAR||RW Division Nayagarh-II,2025_CERWI_120896_20,ONLINE TENDER 04/ RWD-II/2025-26,SR to D type quarter at GHD Satapatana for the year 2025-26,1.0,3240082.0,BHABANI SANKAR PRADHAN,INR,"179,924",1,3231309,AJAYA KUMAR SAHOO,17-Nov-2025 03:52 PM,Rejected-AOC,R,19-May-2026 12:52 PM,19-May-2026,"INR 179,924",60.0,Divya Rani Prusty,19-May-2026 12:51 PM,AOCc.pdf (352.00 KB),55 P1 25-26 DTD 29.12.25,AOC
,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3238625,AJIT KUMAR JENA,19-Nov-2025 04:45 PM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3232952,ANANDA KUMAR PANDA,18-Nov-2025 11:41 AM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3240195,ASHOK KUMAR ROUT,20-Nov-2025 10:15 AM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3239666,ASHWINI KUMAR PATTNAIK,19-Nov-2025 11:26 PM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3236919,ASWINI KUMAR BEHERA,19-Nov-2025 06:22 AM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3240082,BHABANI SANKAR PRADHAN,20-Nov-2025 07:39 AM,Accepted-AOC,AOC,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3241325,DEBASMITA MISHRA,20-Nov-2025 01:42 PM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3234466,DUHKHA BEHERA,20-Nov-2025 02:38 PM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3232915,GOBINDA CHANDRA BISWAL,17-Nov-2025 04:39 PM,Rejected-AOC,R,19-May-2026 12:52 PM,,,,,,,,AOC
