Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"6,000",Nil,Nil,Yes,1.0,ICICI BANK,"30,920",Yes,fixed,,Nil,Nil,17-Jan-2026 09:00 AM,27-Jan-2026 12:30 PM,17-Jan-2026 09:00 AM,27-Jan-2026 09:00 AM,NA ,NA ,17-Jan-2026 09:00 AM,27-Jan-2026 09:00 AM,Additional Secretary,"Additional Secretary, O/o The Water Resources Department, Rajiv Bhawan Bhubaneswar",Water Resources Department,02/2025-26,2026_WTRD_124676_1,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,Providing Manpower Services for Water Resources Department for the year 2025-26 and 2026-27,Manpower Services,Please refer Tender documents. ,NA ,"30,91,088",Human Resources Supply,NA ,Tender,90.0,425.0,The site is loacted in Rajiv Bhawan,751001.0,NA ,NA ,NA ,Rajiv Bhawan Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,AOC,"Ms. Lina Kumari Xess, Additional Secretary",Internal,"Ms. Banita Sethi, FA-cum-Additional Secretary, Md. Ragib Shakil, Deputy Secretary",Banita Sethi,09-Feb-2026 05:29 PM,techsummary_576143.pdf (111.86 KB),1.0,3364609.0,Herald Manpower And Placemnet Services,INR,"4,380,628",Water Resources Department,2026_WTRD_124676_1,02/2025-26,Providing Manpower Services for Water Resources Department for the year 2025-26 and 2026-27,1,3364817,ABHIRAM CARETAKING AND EXPERT SERVICES,24-Jan-2026 04:47 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,"Ms. Lina Kumari Xess, Additional Secretary",Internal,"Ms. Banita Sethy, FA-cum-Additional Secretary, Md. Ragib Shakil, Deputy Secretary",Banita Sethi,09-Feb-2026 05:53 PM,finsummary_576143.pdf (750.23 KB),Finance,ADMITTED,Md Ragib Shakil,27-Jan-2026 02:44 PM,finance_576143.pdf,BOQ Comparative Chart,09-Feb-2026,"INR 4,380,628",425.0,Lina Kumari Xess,18-May-2026 12:35 PM,AOC.pdf (1338.00 KB),"Tender awarded to Herald manpower and Placement Services, Bhubaneswar",AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,2,3364860,ACTIVE SECURITY AND INTELLIGENCE SEVICES,24-Jan-2026 05:50 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,3365461,BB COMMUNICATION HUMAN RESOURCES AND DEVELOPMENT PRIVATE LIMITED,26-Jan-2026 07:15 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,3365587,BIG TREE RESOURCE MANAGEMENT PRIVATE LIMITED,26-Jan-2026 09:40 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,3364264,Bimlraj Outsourcing Pvt. Ltd.,26-Jan-2026 10:49 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,3364893,Binori Caretaking Pvt Ltd.,24-Jan-2026 07:02 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,3364298,G.MANJU SERVICES PRIVATE LIMITED,26-Jan-2026 03:55 PM,Rejected-Finance,Looser in the Lottery,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,3364809,Green Circle Environment Pvt. Ltd.,26-Jan-2026 08:47 AM,Rejected-Finance,Inconsistent percentage amount,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,3364609,Herald Manpower And Placemnet Services,24-Jan-2026 01:47 PM,Accepted-AOC,L1,18-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,3363238,Jagannath Placement & Security Services Private Limited,24-Jan-2026 02:53 PM,Rejected-Finance,Inconsistent percentage amount,09-Feb-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC
