Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
07-May-2026,"INR 419,000",180.0,Rajendra Majhi,07-May-2026 09:57 AM,1.pdf (194.00 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_126770_10,EETIG-ONLINE-19-2025-26,SR Fire Station at Bangomunda under Bangomunda block for the year 2025-26,1.0,3423343.0,manorama sahu,INR,"419,000",1,3422097,ABHISHEK SARAF,07-Mar-2026 06:57 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,Finance,37NOS BIDDERS,Anupama Bishi,11-Mar-2026 12:35 PM,finance_583588.pdf,BOQ Comparative Chart,RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,07-May-2026 09:54 AM,finsummary_583588.pdf (193.90 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,07-May-2026 09:44 AM,techsummary_583588.pdf (193.90 KB),AOC,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-19-2025-26,2026_CERWI_126770_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SR Fire Station at Bangomunda under Bangomunda block for the year 2025-26,SR Fire Station at Bangomunda under Bangomunda block for the year 2025-26,PLEASE REFER TENDER DOCUMENTS ,NA ,"4,19,419",Civil Works - Buildings,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,02-Mar-2026 11:00 AM,10-Mar-2026 11:00 AM,02-Mar-2026 11:00 AM,09-Mar-2026 05:00 PM,02-Mar-2026 11:00 AM ,09-Mar-2026 11:00 AM ,02-Mar-2026 11:00 AM,09-Mar-2026 05:00 PM,"2,000",0.0,Nil,Nil,No,"4,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3424607,ADHYAN INFRA,09-Mar-2026 04:39 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LABOUR LICENSE,NO RELATION CERTIFICATE AND OTHER RELATED DOCUMENTS AS PER DTCN",2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3423681,AKASH KUMAR SHARMA,09-Mar-2026 09:35 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,AOC
,,,,,,,,,,,,,,,4,3423597,ANAND PRAKASH SHARMA,09-Mar-2026 01:08 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3423845,ANTARYAMI SUNA,09-Mar-2026 12:24 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3423095,ARYA INFRASTRCTURE,08-Mar-2026 12:18 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3423428,ATISH MOHANTY,08-Mar-2026 11:29 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3423549,BASANT KUMAR JAIN,09-Mar-2026 11:34 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3418228,BHARAT TANK,06-Mar-2026 11:03 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3424320,BULIRANI MISHRA,09-Mar-2026 02:41 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
