Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage
SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,12-May-2026 12:12 PM,techsummary_574723.pdf (942.95 KB),12-May-2026,"INR 1,799,263",30.0,Durga Madhaba Padhi,12-May-2026 12:36 PM,WO_KMT.pdf (452.00 KB),"Work is warded to Sri Susant Kumar Day through transparent lottery system,Bid work order no-1513 dated 06.03.2026 of R and B Division-II Rayagada",1,3355320,ALLAPA BISWESWARA RAO,15-Jan-2026 12:54 PM,Rejected-Finance,Second Lowest,12-May-2026 12:23 PM,1.0,3355969.0,SUSHANTA KUMAR DEY,INR,"1,799,263",Finance,Tender Opened,Durga Madhaba Padhi,04-May-2026 01:10 PM,finance_574723.pdf,BOQ Comparative Chart,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,12-May-2026 12:23 PM,finsummary_574723.pdf (942.95 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2026_EICCL_124281_1,RC(RANDB) RGD NO. II/ 15 /2025-26,"S/R to K-M-T road such as berm cleaning, Culvert, Bridge parapet wall painting and fixing of drain cover slab and repair of potholes from 30/00 Km to 67/300 Km during 2025-26",AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,GST,RC,Pan,LC,Affidavit and other document as per DTCN","6,000",0.0,Nil,Nil,No,08-Jan-2026 11:00 AM,16-Jan-2026 11:00 AM,08-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,"S/R to K-M-T road such as berm cleaning, Culvert, Bridge parapet wall painting and fixing of drain cover slab and repair of potholes from 30/00 Km to 67/300 Km during 2025-26",Road Work,Please refer tender documents ,NA ,"21,16,531",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765017.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,"21,200",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 15 /2025-26,2026_EICCL_124281_1,Yes,Open Limited,Percentage,Works,1.0,No,No,Online,No,No,No,SE R and B Division No-II,Office of SE R and B Division No-II,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,3351614,BIDESHI KHADANGA,15-Jan-2026 02:26 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,3355731,DURJADHANA MAJHI,15-Jan-2026 02:33 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3353733,JAYA CHANDRA SENAPATI,15-Jan-2026 02:22 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3353263,KHAGESWAR SAHU,13-Jan-2026 06:51 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3353630,MAHAMMAD IMRAN,14-Jan-2026 12:26 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3355837,RADHA KRUSHNA SAHU,15-Jan-2026 03:05 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3356265,RAJESH PANDA,15-Jan-2026 04:52 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3354032,RAMAKANTA PANDA,14-Jan-2026 06:43 PM,Rejected-Technical,Dis-qualified as per DTCN,12-May-2026 12:12 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3355459,Sabita Senapati,15-Jan-2026 01:11 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,11,3354442,SAMIT KUMAR TULO,15-Jan-2026 12:55 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,12,3356047,SANGRAM KESHAR PATNAIK,15-Jan-2026 03:59 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,13,3355969,SUSHANTA KUMAR DEY,15-Jan-2026 03:38 PM,Accepted-AOC,First Lowest and work awarded through transparent lottery system,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,14,3355997,TIRUPATI PRASAD PANIGRAHI,15-Jan-2026 03:45 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,15,3356111,TOOFAN KESHARI SAHU,15-Jan-2026 04:28 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,16,3355134,TRINATH NAIK,15-Jan-2026 12:01 PM,Rejected-AOC,First Lowest,12-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
