Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Executive Officer, soro Municipality","Executive Officer, soro Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN Card, Valid registration certificate, Affidavits and as per DTCN","4,000",0.0,Nil,Nil,No,Construction of Paver Road Babaji Tarei House to Umakanta Jena House in Ward No.-11,Construction Work,Please refer to the tender document ,NA ,"6,77,966",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,"6,780",Yes,fixed,,Nil,Nil,1,ICICI BANK,1.0,Correction in DTCN,Other,,18-Feb-2026 10:00 AM,26-Feb-2026 10:00 AM,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,NA ,NA ,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,Municipal Bodies||Soro Municipality,SOROM_07_2025-26,2026_ORULB_125887_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,27-May-2026 09:21 AM,techsummary_581145.pdf (371.20 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,30-May-2026 10:08 AM,finsummary_581145.pdf (371.20 KB),Finance,2 bidders MAHIRANJAN DHADA L2 and SANTOSH PARIDA L1 have participated. Hence SANTOSH PARIDA can be accepted as 1st lowest bidder.,Sanjaya Kumar Sena,06-Mar-2026 02:33 PM,,BOQ Comparative Chart,30-May-2026,"INR 677,966.02",90.0,Biswo Ranjan Pradhan,30-May-2026 10:21 AM,W31.pdf (617.00 KB),Municipal Bodies||Soro Municipality,2026_ORULB_125887_31,SOROM_07_2025-26,Construction of Paver Road Babaji Tarei House to Umakanta Jena House in Ward No.-11,1.0,3409190.0,SANTOSH PARIDA,INR,"677,966.02",1,3409302,MAHIRANJAN DHADA,25-Feb-2026 04:29 PM,Rejected-Finance,L2,30-May-2026 10:08 AM,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3409190,SANTOSH PARIDA,25-Feb-2026 07:33 AM,Accepted-AOC,Work order,30-May-2026 10:21 AM,AOC
