Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,000",Nil,Nil,No,BDO Kuchinda,"Office of the Panchayat Samiti Kuchinda, At/Po/Ps-Kuchinda Sambalpur 768222",Const of ACR at Gopalpali PUPS,Building,Please refer Tender documents. ,NA ,"9,59,292",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Gopalpali, Bankey",768222.0,NA ,NA ,NA ,Block Office Kuchinda,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GST/PAN/REGISTRATION AND OTHERS ITEMS MENTIONED IN DTCN,"9,592",Yes,fixed,,Nil,Nil,19-Mar-2026 10:00 AM,09-Apr-2026 11:00 AM,19-Mar-2026 10:00 AM,07-Apr-2026 05:00 PM,NA ,NA ,19-Mar-2026 10:00 AM,07-Apr-2026 05:00 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||KUCHINDA Block,01/2025-26/BDO_ KUCHINDA,2026_PRKUC_127411_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,06-May-2026,"INR 958,328",180.0,Jayanta Sahu,06-May-2026 10:04 AM,AOCconstofaddlclassroomGopalpaliPUPS.pdf (805.00 KB),Work Order of Const of Additional Classroom at Gopalpali PUPS,1,3447799,AMIT AGRAWAL,07-Apr-2026 02:07 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,Jayanta Sahu,Internal,Pragnya Paramita Nayak Ajay Bage Taruna Prasad Biswal Dusmant Kisan Dillip Kisan,Jayanta Sahu,15-Apr-2026 10:08 AM,techsummary_585640.pdf (2365.29 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||KUCHINDA Block,2026_PRKUC_127411_1,01/2025-26/BDO_ KUCHINDA,Const of ACR at Gopalpali PUPS,Jayanta Sahu,Internal,Pragnya Paramita Nayak Ajay Bage Taruna Prasad Biswal Dusmant Kisan Dillip Kisan,Jayanta Sahu,15-Apr-2026 10:21 AM,finsummary_585640.pdf (2365.29 KB),Finance,Opened successfully,Jayanta Sahu,13-Apr-2026 09:52 AM,finance_585640.pdf,BOQ Comparative Chart,1.0,3449478.0,PRABIN PRATAP SINGH,INR,"958,328",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3448958,BISHAL AGRAWAL,07-Apr-2026 08:35 AM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3449516,GOBINDA SAHOO,07-Apr-2026 03:45 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3448945,GOVIND MEHER,07-Apr-2026 09:21 AM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3449399,LOMAHARSA SETH,07-Apr-2026 02:49 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3449478,PRABIN PRATAP SINGH,07-Apr-2026 03:17 PM,Accepted-AOC,Awarded through transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3449503,PRASANTA KUMAR SAHU,07-Apr-2026 03:39 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3448726,RAJESH KUMAR PATEL,06-Apr-2026 07:49 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3447734,ROHIT AGRAWAL,07-Apr-2026 02:41 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3448704,SOMARENDRA PATTA (S.T),07-Apr-2026 12:48 PM,Rejected-AOC,Reject in transparent lottery system,06-May-2026 10:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
