Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Finance,ok,Nilakantha Kisan,25-Jul-2025 04:47 PM,finance_544345.pdf,BOQ Comparative Chart,19-May-2026,INR 0,60.0,Nilakantha Kisan,19-May-2026 11:20 AM,15THFC.pdf (156.00 KB),Municipal Bodies||Belpahar Municipal Council,2025_ORULB_114739_64,EO/BPHM02/25-26,Pavor block road from Mahanta house to Pardeshi house in W.N.-18,1.0,2991047.0,LAXMIDHAR SAHOO,INR,0.0,1,2992355,BIBHUTI PRASAD RANA,07-Jul-2025 04:07 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,Nimai Charan Panda,Internal,,Nilakantha Kisan,31-Jul-2025 11:56 AM,techsummary_544345.pdf (256.50 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,09-Sep-2025 12:01 PM,finsummary_544345.pdf (256.50 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,"3,242",Yes,fixed,,Nil,Nil,26-Jun-2025 10:00 AM,08-Jul-2025 11:00 AM,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,NA ,NA ,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,Municipal Bodies||Belpahar Municipal Council,EO/BPHM02/25-26,2025_ORULB_114739_64,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,"2,000",0.0,Nil,Nil,No,Pavor block road from Mahanta house to Pardeshi house in W.N.-18,Pavor block road from Mahanta house to Pardeshi house in W.N.-18,Please refer Tender documents. ,NA ,"3,24,200",Civil Works - Roads,NA ,Tender,90.0,60.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,2,2991312,Debendra Sahu,06-Jul-2025 08:30 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,3,2991817,Indrani Mohanta,07-Jul-2025 11:27 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2991613,JEETENDRA JAMDULIA,06-Jul-2025 08:58 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2991047,LAXMIDHAR SAHOO,06-Jul-2025 11:44 AM,Accepted-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2992258,MAA DURGA CONSTRUCTION,07-Jul-2025 04:13 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2991240,MANORANJAN SWAIN,06-Jul-2025 01:04 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2991081,PRADEEP RANSINGH,06-Jul-2025 10:07 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2991557,SATYAJIT JENA,06-Jul-2025 08:01 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2991382,SUBASH CHANDRA MEHER PROP. RAJBIR CONSTRUCTION,06-Jul-2025 06:51 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,2991627,SUBHRAJEET JENA,06-Jul-2025 09:08 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,2990977,TANKADHAR KHAMARI,05-Jul-2025 09:10 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,19-May-2026 11:20 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
