Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,DTCN,"10,000",0.0,Nil,Nil,No,28-Jan-2026 11:00 AM,10-Feb-2026 11:00 AM,28-Jan-2026 11:00 AM,09-Feb-2026 05:00 PM,NA ,NA ,28-Jan-2026 11:00 AM,09-Feb-2026 05:00 PM,27-Feb-2026 11:00 AM,"Executive Officer, Balasore Municipality","Executive Officer, Balasore Municipality",1,ICICI BANK,"59,322",Yes,percentage,1.0%,Nil,Nil,Construction of open air theatre at Gandhi Smruti Bhawan Ward No. 17,Construction of open air theatre at Gandhi Smruti Bhawan Ward No. 17,Please refer Tender documents. ,NA ,"59,32,203",Civil Works - Others,NA ,Tender,90.0,90.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,Municipal Bodies||Balasore Municipality,BM_09_2025_26,2026_ORULB_125087_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,EO ME CP AE AEE,Internal,,Pradeep Kumar Nayak,15-May-2026 12:35 PM,finsummary_577765.pdf (100.49 KB),Municipal Bodies||Balasore Municipality,2026_ORULB_125087_1,BM_09_2025_26,Construction of open air theatre at Gandhi Smruti Bhawan Ward No. 17,Technical,Tender opened successfully,Pranabananda Sahu,10-Feb-2026 04:45 PM,,1.0,3388170.0,SAROJ KUMAR BEHERA,INR,"4,964,067.33",15-May-2026,"INR 4,964,067.33",90.0,Pradeep Kumar Nayak,15-May-2026 12:38 PM,WO0901.pdf (102.00 KB),1,3388214,BRAJABANDHU NAYAK,09-Feb-2026 04:52 PM,Rejected-Finance,L2,15-May-2026 12:35 PM,Finance,Tender opened successfully,Pradeep Kumar Nayak,02-Mar-2026 11:44 AM,,BOQ Comparative Chart,EO ME CP AE AEE,Internal,,Pranabananda Sahu,26-Feb-2026 07:28 PM,27-Feb-2026 11:00 AM,techsummary_577765.pdf (193.07 KB),AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3388170,SAROJ KUMAR BEHERA,09-Feb-2026 04:51 PM,Accepted-AOC,WO,15-May-2026 12:38 PM,,,,,,,,,,,,,,AOC
