Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
AUL 17 Protection to Scoured bank of Nuna left on Gopalpur Akhadasahi OAE from RD 4953 M to 5017 M,Protection to Scoured bank of Nuna left on Gopalpur Akhadasahi OAE from RD 4953 M to 5017 M,Please refer Tender documents. ,NA ,"73,22,685",Civil Works - Others,NA ,Tender,90.0,180.0,AUL,754219.0,NA ,NA ,NA ,"S.E, Aul Embkt. Division, Aul",No ,No,"S.E, Aul Embkt. Division, Aul","S.E, Aul Embankment Division, Aul-754219",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||AUL Embankment Div AUL,e-Procurement Notice No.AED-14 OF 2025-26,2025_AULE_119654_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN.",1.0,ICICI BANK,18-Oct-2025 10:00 AM,28-Oct-2025 11:00 AM,18-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,18-Oct-2025 10:00 AM ,24-Oct-2025 05:00 PM ,18-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,13-Nov-2025 05:00 PM,"10,000",Nil,Nil,No,"73,300",Yes,fixed,,Nil,Nil,AOC,AUL Embankment Div AUL,Internal,AUL Embankment Div AUL,Sambit Kumar Sahoo,11-Dec-2025 08:23 PM,finsummary_556658.pdf (228.40 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||AUL Embankment Div AUL,2025_AULE_119654_16,e-Procurement Notice No.AED-14 OF 2025-26,AUL 17 Protection to Scoured bank of Nuna left on Gopalpur Akhadasahi OAE from RD 4953 M to 5017 M,Technical,60 Nos Bidders Participated,Kshirod Kumar Mohapatra,03-Nov-2025 07:06 PM,,1.0,3150572.0,RUPAMANJARI MALLA,INR,"6,225,014",20-May-2026,"INR 6,225,014",180.0,Sambit Kumar Sahoo,20-May-2026 01:41 PM,17.pdf (1266.00 KB),"L1 bid of Sri RUPAMANJARI MALLA selected through transparent lottery system accepted by the S.E., Aul Embankment Division for award of contract.",1,3152755,ALOK KUMAR ROUT,25-Oct-2025 09:52 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,Finance,All the bids are downloaded successfully.,Sambit Kumar Sahoo,16-Nov-2025 11:48 PM,finance_556658.pdf,BOQ Comparative Chart,"S.E, Aul Embakment Division, Aul",Internal,"DAO Aul Embakment Division, Aul, AEE (Estimator), Aul Embakment Division, Aul",Sambit Kumar Sahoo,13-Nov-2025 04:45 PM,13-Nov-2025 05:00 PM,techsummary_556658.pdf (185.89 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3152466,AMIT KUMAR BEHERA,26-Oct-2025 05:24 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3153818,AMIT NAYAK,26-Oct-2025 12:27 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3148289,AMLAN KUMAR PANDA,24-Oct-2025 07:07 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3138690,Arundhati Pradhan,22-Oct-2025 09:01 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3159749,ASHISA KUMAR NANDA,27-Oct-2025 04:05 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3152690,BARADA PRASANNA PANDA,26-Oct-2025 04:52 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3159675,Barsha Priyadarshini Behera,27-Oct-2025 03:25 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3156916,BHABANI PRASAD NAYAK,27-Oct-2025 12:49 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3155962,BIBEKANANDA MISHRA,26-Oct-2025 08:19 PM,Rejected-Finance,Not won in the transparent Lottery,11-Dec-2025 08:23 PM,,,,,,,,,,,,,,AOC
