Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",Nil,Nil,No,1,ICICI BANK,"Divisional Forest Officer, Keonjhar Division","Office of the Divisional Forest Officer, Po-dist-Keonjhar-758001",12-Feb-2026 10:00 AM,21-Feb-2026 10:00 AM,12-Feb-2026 10:00 AM,20-Feb-2026 05:00 PM,12-Feb-2026 10:00 AM ,20-Feb-2026 05:00 PM ,12-Feb-2026 10:00 AM,20-Feb-2026 05:00 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO (T)- KJR-05/2025-26,2026_DFOKJ_125883_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST, PAN, Payment details and Other documents as per DTCN","13,400",Yes,fixed,,Nil,Nil,Construction of RCC Check Dam on Gudamara Nallah-1 inside Khajuribani RF of Keonjhar Range under OMBADC (DPR 2023-24),Construction of RCC Check Dam on Gudamara Nallah-1 inside Khajuribani RF of Keonjhar Range under OMBADC (DPR 2023-24),Please refer Tender documents. ,NA ,"13,30,899",Civil Works - Water Works,NA ,Tender,90.0,30.0,Khajuribani RF Keonjhar Range,758079.0,NA ,NA ,NA ,Keonjhar,No ,No,AOC,"Dhanraj HD, IFS",Internal,"Jyotirmaya suar, Jr Asst, Narayan Panda, Head Clerk, Ashok Ku Das, ACF, sudipta Panda, ACF",Dhanraj Hanumant Dhamdhere,01-May-2026 11:50 AM,finsummary_580936.pdf (218.88 KB),"Dhanraj HD, IFS",Internal,"Jyotirmaya suar, Jr Asst, Narayan Panda, Head Clerk, Ashok Ku Das, ACF, sudipta Panda, ACF",Dhanraj Hanumant Dhamdhere,01-May-2026 11:43 AM,techsummary_580936.pdf (269.69 KB),01-May-2026,"INR 1,272,230",30.0,Dhanraj Hanumant Dhamdhere,01-May-2026 11:52 AM,20WO.pdf (307.00 KB),Work Order Issued to L1 fidder,1.0,3404881.0,BIRANCHI JUANGA,INR,"1,272,230",Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2026_DFOKJ_125883_21,FEnCC-DFO (T)- KJR-05/2025-26,Construction of RCC Check Dam on Gudamara Nallah-1 inside Khajuribani RF of Keonjhar Range under OMBADC (DPR 2023-24),1,3404881,BIRANCHI JUANGA,20-Feb-2026 02:44 PM,Accepted-AOC,Accepted,01-May-2026 11:52 AM,Finance,Tender Opeing Summary,Dhanraj Hanumant Dhamdhere,21-Feb-2026 01:42 PM,finance_580936.pdf,BOQ Comparative Chart,AOC
,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3400641,BISHNUPRASAD JENA,17-Feb-2026 02:40 PM,Rejected-Finance,DisQualified,01-May-2026 11:50 AM,,,,,,,AOC
