S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"10,100",Yes,fixed,,Nil,Nil,28-Jan-2026 10:00 AM,05-Feb-2026 10:30 AM,28-Jan-2026 10:00 AM,04-Feb-2026 05:00 PM,28-Jan-2026 10:00 AM ,04-Feb-2026 05:00 PM ,28-Jan-2026 10:00 AM,04-Feb-2026 05:00 PM,"Divisional Forest Officer, Keonjhar Division","Office of the DFO, Keonjhar-758001",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,PAN,GST, Registration Certificate and Other Documents as per DTCN","6,000",Nil,Nil,No,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO (T)- KJR-04/2025-26,2026_DFOKJ_125068_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of RCC Check Dam on Nallah-B inside Naibuga RF of Champua Range under OMBADC (DPR 2021-22),Construction of RCC Check Dam on Nallah-B inside Naibuga RF of Champua Range under OMBADC (DPR 2021-22),Please refer Tender documents. ,NA ,"10,02,760",Civil Works - Water Works,NA ,Tender,90.0,45.0,Nallah B inside Naibuga RF of Champua Range,758041.0,NA ,NA ,NA ,Keonjhar,No ,No,AOC,01-May-2026,"INR 945,304",45.0,Dhanraj Hanumant Dhamdhere,01-May-2026 01:03 PM,2ndWO6.pdf (341.00 KB),Work order issued to L1 Bidder,1,3376291,ANNAPURNA ROUT,03-Feb-2026 08:37 PM,Accepted-AOC,accepted,01-May-2026 01:03 PM,"Dhanraj H. Dhamdhere, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,14-Feb-2026 11:55 AM,techsummary_577719.pdf (55.63 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2026_DFOKJ_125068_6,FEnCC-DFO (T)- KJR-04/2025-26,Construction of RCC Check Dam on Nallah-B inside Naibuga RF of Champua Range under OMBADC (DPR 2021-22),"Dhanraj H. Dhamdhere, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,14-Feb-2026 11:58 AM,finsummary_577719.pdf (45.14 KB),Finance,BOQ Chart Summary,Narayan Panda,05-Feb-2026 12:45 PM,finance_577719.pdf,BOQ Comparative Chart,1.0,3376291.0,ANNAPURNA ROUT,INR,"945,304",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3377896,SUBHASHREE SAHOO,03-Feb-2026 10:49 PM,Rejected-Finance,Dis Qualified,14-Feb-2026 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
