S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3129901.0,NAKUL RAY,INR,"2,609,099","Collector, Sundargarh",Internal,"Collector-cum-Chiarperson, ITDA, Panposh, SE, Rourkela Irrigation Divn., Rourkela, PA, ITDA, Panposh and AEE, ITDA, Panposh",Bikrani Kispatta,11-May-2026 06:07 PM,finsummary_554061.pdf (25368.07 KB),ST and SC Development Deptt||ITDA Panposh,2025_STSCD_118662_6,ITDAPAN-03/2025-26,Construction of 2 nos Staff Quarters at Govt. (SSD) High School Andali Jambahal under Kuarmunda Block,Technical,Technical Evaluation submitted,Bikrani Kispatta,20-Feb-2026 06:10 PM,technical_554061.pdf,Finance,PROCEEDING SUBMITTED,Bikrani Kispatta,30-Mar-2026 05:06 PM,finance_554061.pdf,BOQ Comparative Chart,"Collector, Sundargarh",Internal,"Collector, SNG, SE, RB Rourkela, PA, ITDA, AEEs all blocks",Bikrani Kispatta,20-Feb-2026 06:48 PM,23-Feb-2026 12:00 PM,techsummary_554061.pdf (16851.03 KB),1,3126294,ALOK KUMAR MOHANTY,13-Oct-2025 04:24 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,11-May-2026,"INR 2,609,099",180.0,Bikrani Kispatta,12-May-2026 08:05 AM,6.pdf (1468.00 KB),Construction of 2 nos Staff Quarters at Govt. (SSD) High School Andali Jambahal under Kuarmunda Block,AOC,26-Sep-2025 10:00 AM,17-Oct-2025 11:00 AM,26-Sep-2025 10:00 AM,16-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:00 AM,16-Oct-2025 05:00 PM,23-Feb-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,"PAN, GST, LICENSE NO RELATION, EXPERIENCE, AFFIDAVIT, MACHINARY","6,000",0.0,Nil,Nil,No,"30,692",Yes,fixed,,Nil,Nil,PA ITDA PANPOSH,PA ITDA PANPOSH ROURKELA,Construction of 2 nos Staff Quarters at Govt. (SSD) High School Andali Jambahal under Kuarmunda Block,Construction of 2 nos Staff Quarters at Govt. (SSD) High School Andali Jambahal under Kuarmunda Block,Please refer Tender documents. ,NA ,"30,69,168",Civil Works - Buildings,NA ,Tender,90.0,180.0,ITDA PANPOSH,769012.0,NA ,NA ,NA ,ITDA PANPOSH,No ,No,1.0,ICICI BANK,ST and SC Development Deptt||ITDA Panposh,ITDAPAN-03/2025-26,2025_STSCD_118662_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3130122,BISWANATH BARIK,15-Oct-2025 08:23 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3131341,DAYANAND SAHOO,16-Oct-2025 04:29 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3130358,DEEPAK KUMAR DAS,15-Oct-2025 10:59 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3125864,DEEPAK KUMAR SAHU,13-Oct-2025 02:20 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3131026,GAYADHAR SWAIN,16-Oct-2025 01:44 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3129472,GOPAL SAHOO,15-Oct-2025 02:51 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3131326,KIRTIMEGHA PARIJA,16-Oct-2025 04:18 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3130889,Maa Bhanbhori Constructions,16-Oct-2025 01:18 PM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3124055,MUKUL KUMAR AGARWAL,12-Oct-2025 11:53 AM,Rejected-AOC,Rejected,12-May-2026 08:05 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
