Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage
Finance,2 bidders Nirod Kumar Sarangi L2 and MANOJ KUMAR PATRA L1 have participated. Hence MANOJ KUMAR PATRA can be accepted as 1st lowest bidder.,Sanjaya Kumar Sena,07-Mar-2026 01:46 PM,,BOQ Comparative Chart,Municipal Bodies||Soro Municipality,2026_ORULB_125887_58,SOROM_07_2025-26,Improvement of Parking Area infront of Maa Rauta Rautani Temple in Ward No.-17,1.0,3410036.0,MANOJ KUMAR PATRA,INR,"254,236.97",1,3410036,MANOJ KUMAR PATRA,25-Feb-2026 12:42 PM,Accepted-AOC,Work Order,30-May-2026 11:40 AM,30-May-2026,"INR 254,236.97",90.0,Biswo Ranjan Pradhan,30-May-2026 11:39 AM,W58.pdf (690.00 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,27-May-2026 10:44 AM,techsummary_581233.pdf (659.42 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,30-May-2026 11:35 AM,finsummary_581233.pdf (689.74 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN Card, Valid registration certificate, Affidavits and as per DTCN",1.0,Correction in DTCN,Other,,18-Feb-2026 10:00 AM,26-Feb-2026 10:00 AM,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,NA ,NA ,18-Feb-2026 10:00 AM,25-Feb-2026 05:00 PM,"Executive Officer, soro Municipality","Executive Officer, soro Municipality",Municipal Bodies||Soro Municipality,SOROM_07_2025-26,2026_ORULB_125887_58,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,Improvement of Parking Area infront of Maa Rauta Rautani Temple in Ward No.-17,Improvement Work,Please refer to the tender document ,NA ,"2,54,237",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,"2,542",Yes,fixed,,Nil,Nil,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3410105,Nirod Kumar Sarangi,25-Feb-2026 01:11 PM,Rejected-Finance,L2,30-May-2026 11:35 AM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
