Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,14-May-2026 11:13 AM,techsummary_573607.pdf (410.47 KB),1,3356035,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,15-Jan-2026 04:11 PM,Rejected-AOC,First Lowest,14-May-2026 11:29 AM,14-May-2026,"INR 2,719,490",60.0,Durga Madhaba Padhi,14-May-2026 11:29 AM,WO_Satang.pdf (542.00 KB),"Work is awarded to M/S S.K Rath through transparent lottery system, Bid work order no-1501 Dated 06.03.2026 of R and B Division -II, Rayagada",Finance,Tender Opened,Durga Madhaba Padhi,14-May-2026 11:07 AM,finance_573607.pdf,BOQ Comparative Chart,1.0,3355213.0,M/S. S.K.RATH,INR,"2,719,490",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_123943_1,RC(RANDB) RGD NO. II/ 14 /2025-26,"Shifting of HT, LT and S/S from Satang to Gotiguda and Nayara Petrol pump to Sub jail due to widening and strengthening of K-M-T road (SH -5) (from 30/00 Km to 45/615 Km) during 2025-26",SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,14-May-2026 11:21 AM,finsummary_573607.pdf (410.47 KB),AOC,"32,000",Yes,fixed,,Nil,Nil,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,GST,RC,PAN,LC, Affidavit and other document as per DTCN",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 14 /2025-26,2025_EICCL_123943_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Jan-2026 11:00 AM,16-Jan-2026 11:00 AM,02-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,NA ,NA ,02-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,"Shifting of HT, LT and S/S from Satang to Gotiguda and Nayara Petrol pump to Sub jail due to widening and strengthening of K-M-T road (SH -5) (from 30/00 Km to 45/615 Km) during 2025-26",Electrical Work,Please refer tender documents ,NA ,"31,99,024",Electrical Works,NA ,Tender,90.0,60.0,Rayagada,765017.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,"6,000",0.0,Nil,Nil,No,SE R and B Division No-II,Office of SE R and B Division No-II,AOC
,,,,,,2,3355213,M/S. S.K.RATH,15-Jan-2026 03:43 PM,Accepted-AOC,First Lowest and work is awarded through transparent lottery system,14-May-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
