Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,13nos bidders,Rajendra Majhi,30-Jan-2026 03:55 PM,finance_576816.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2026_CERWI_124820_23,EETIG-ONLINE-14-2025-26,SR Police Station at Muribahal under Muribahal block for the year 2025-26,1.0,3366396.0,SAGARIKA RATH,INR,"419,463",1,3367223,ABHISHEK SARAF,27-Jan-2026 12:45 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,20-May-2026,"INR 419,463",180.0,Rajendra Majhi,20-May-2026 10:04 AM,(0.00 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,20-May-2026 09:46 AM,techsummary_576816.pdf (193.81 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMATOR,Rajendra Majhi,20-May-2026 09:49 AM,finsummary_576816.pdf (193.81 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN.GST,CONTRACTOR REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS,LABOUR LICENSE","4,200",Yes,fixed,,Nil,Nil,20-Jan-2026 11:00 AM,28-Jan-2026 11:00 AM,20-Jan-2026 11:00 AM,27-Jan-2026 05:00 PM,20-Jan-2026 11:00 AM ,27-Jan-2026 11:00 AM ,20-Jan-2026 11:00 AM,27-Jan-2026 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-14-2025-26,2026_CERWI_124820_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SR Police Station at Muribahal under Muribahal block for the year 2025-26,SR Police Station at Muribahal under Muribahal block for the year 2025-26,PLEASE REFER TENDER DOCUMENTS ,NA ,"4,19,883",Civil Works - Buildings,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,"2,000",0.0,Nil,Nil,No,THE SE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,AOC
,,,,,,,,,,,,,,,2,3368385,ARYA INFRASTRCTURE,27-Jan-2026 02:55 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,NO RELATION CERTIFICATE AND OTHER RELEVANT DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3367881,DUSILA SAHU,27-Jan-2026 03:51 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3367489,GHASIRAM JAINI,27-Jan-2026 03:14 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3368714,GOURAB KUMAR BANSAL,27-Jan-2026 04:29 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3365830,MANJU AGRAWL,27-Jan-2026 09:10 AM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3367751,manorama sahu,27-Jan-2026 02:17 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3365402,NARENDRA PANIKA,27-Jan-2026 11:06 AM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3365371,NIRMALA BEHERA,26-Jan-2026 06:01 PM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3365848,PADMANAVA NAIK,26-Jan-2026 11:50 AM,Rejected-Finance,NOT WINE THE LOTTERY,20-May-2026 09:49 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
