S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Construction of road MIG-I 34 Block to MIG-I-54 in Ward No. 08,Construction of road MIG-I 34 Block to MIG-I-54 in Ward No. 08,Please refer Tender documents. ,NA ,"42,38,772",Civil Works - Roads,NA ,Tender,120.0,90.0,BMC AREA,751022.0,"Office Chamber of EE Central Tender Cell,BMC ","UG Floor,Office Chamber of EE Central Tender Cell,BMC ",16-Dec-2025 04:30 PM ,"Central Tender Cell,BMC",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"42,400",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Executive Engineer (Central Tender Cell),"UG Floor,Central Tender Cell,ICOMC Tower, BMC,751022",Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-53/2025-26 Dt. 08.12.2025,2025_ORULB_122821_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Dec-2025 11:00 AM,23-Dec-2025 11:00 AM,10-Dec-2025 11:00 AM,22-Dec-2025 05:00 PM,10-Dec-2025 11:00 AM ,16-Dec-2025 12:30 PM ,10-Dec-2025 11:00 AM,22-Dec-2025 05:00 PM,AOC,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-May-2026 05:05 PM,finsummary_570340.pdf (4163.43 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_122821_1,BMC-EE-Tender Cell-53/2025-26 Dt. 08.12.2025,Construction of road MIG-I 34 Block to MIG-I-54 in Ward No. 08,1.0,3323021.0,AMARESH SAHOO,INR,"4,251,988",Finance,10 bids opened successfully,Lipsa Parida,23-Dec-2025 11:11 AM,finance_570340.pdf,BOQ Comparative Chart,07-May-2026,"INR 4,251,988",90.0,Lipsa Parida,07-May-2026 05:11 PM,WO_53_1.pdf (324.00 KB),1,3316401,AMAL KIRAN SATAPATHY,19-Dec-2025 11:42 AM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-May-2026 04:57 PM,techsummary_570340.pdf (1690.91 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3323021,AMARESH SAHOO,22-Dec-2025 04:02 PM,Accepted-AOC,L1 bidder,07-May-2026 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3323034,BHABANI SANKAR MALLIA,22-Dec-2025 03:59 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3319797,Dillip Kumar Mishra,20-Dec-2025 06:54 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3322644,PRIME ENGINEERING CONSTRUCTION,22-Dec-2025 02:26 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3321604,RAJENDRA KUMAR MALLICK,22-Dec-2025 03:59 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3322754,RAJESH KUMAR MOHANTY,22-Dec-2025 02:52 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3321854,RASHMI RANJAN MAHUNTA,22-Dec-2025 03:37 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3317169,SANATAN PARIDA,19-Dec-2025 02:32 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3322295,SURYAPRASAD KAR,22-Dec-2025 01:26 PM,Rejected-Finance,Rejected,07-May-2026 05:05 PM,,,,,,,AOC
