Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,000",Nil,Nil,No,1.0,ICICI BANK,"6,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST, PAN, Payment details and Other documents as per DTCN","Construction of EGB near Machhagarh, Machhagarh DPF of Patna Range under OMBADC (DPR 2023-24)","Construction of EGB near Machhagarh, Machhagarh DPF of Patna Range under OMBADC (DPR 2023-24)",Please refer Tender documents. ,NA ,"6,43,699",Civil Works - Water Works,NA ,Tender,90.0,30.0,Machhagarh DPF Patna,758030.0,NA ,NA ,NA ,Keonjhar,No ,No,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO (T)- KJR-05/2025-26,2026_DFOKJ_125883_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Divisional Forest Officer, Keonjhar Division","Office of the Divisional Forest Officer, Po-dist-Keonjhar-758001",12-Feb-2026 11:30 AM,21-Feb-2026 10:00 AM,12-Feb-2026 11:30 AM,20-Feb-2026 05:00 PM,12-Feb-2026 11:30 AM ,20-Feb-2026 05:00 PM ,12-Feb-2026 11:30 AM,20-Feb-2026 05:00 PM,AOC,"Dhanraj HD, IFS",Internal,"Jyotirmaya suar, Jr Asst, Narayan Panda, Head Clerk, Ashok Ku Das, ACF, sudipta Panda, ACF",Dhanraj Hanumant Dhamdhere,02-May-2026 12:42 PM,finsummary_580967.pdf (337.58 KB),"Dhanraj HD, IFS",Internal,"Jyotirmaya suar, Jr Asst, Narayan Panda, Head Clerk, Ashok Ku Das, ACF, sudipta Panda, ACF",Dhanraj Hanumant Dhamdhere,02-May-2026 12:35 PM,techsummary_580967.pdf (645.45 KB),02-May-2026,"INR 493,717",30.0,Dhanraj Hanumant Dhamdhere,02-May-2026 12:45 PM,33WO.pdf (327.00 KB),Work Order issued,1,3399896,ANNAPURNA ROUT,19-Feb-2026 09:14 AM,Rejected-Technical,Disqualified,02-May-2026 12:35 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2026_DFOKJ_125883_34,FEnCC-DFO (T)- KJR-05/2025-26,"Construction of EGB near Machhagarh, Machhagarh DPF of Patna Range under OMBADC (DPR 2023-24)",1.0,3404916.0,CHANDRA SEKHAR MOHANTA,INR,"493,717",Finance,Tender Opeing Summary,Dhanraj Hanumant Dhamdhere,21-Feb-2026 10:58 AM,finance_580967.pdf,BOQ Comparative Chart,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3400757,BISHNUPRASAD JENA,17-Feb-2026 03:25 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3404916,CHANDRA SEKHAR MOHANTA,19-Feb-2026 07:29 PM,Accepted-AOC,Accepted,02-May-2026 12:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3398204,DASMAT MAJHI,16-Feb-2026 01:05 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3405043,JASHODA BEHERA,20-Feb-2026 05:38 AM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3402611,NIHAR RANJAN MAHAKUD,18-Feb-2026 03:50 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3405589,SANJAY KUMAR SETHY,20-Feb-2026 01:55 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3403259,SAROJINI JENA,20-Feb-2026 03:17 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3405559,SATYABRATA SETHY,20-Feb-2026 01:50 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3405618,TRILOCHAN SAHU,20-Feb-2026 01:49 PM,Rejected-Finance,DisQualified,02-May-2026 12:42 PM,,,,,,,,,,,,,,,,AOC
