S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,4TH CORRIGENDUM,Date,,"Construction of 96 Nos. E-type Flat Quarters in 4 Blocks (E1, E2, E3, E4) and 48 Nos. F-type Flat Quarters in 2 Blocks (F1, F2) in the Residential Colony of Raj Bhavan, Bhubaneswar (Stilt plus 6) for 2025-26 on Turnkey Basis.","Construction of 96 Nos. E-type Flat Quarters in 4 Blocks (E1, E2, E3, E4) and 48 Nos. F-type Flat Quarters in 2 Blocks (F1, F2) in the Residential Colony of Raj Bhavan, Bhubaneswar (Stilt plus 6) for 2025-26 on Turnkey Basis.",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,180.0,730.0,BHUBANESWAR,751008.0,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar. ","O/o. the E.I.C. (Civil), Odisha, Bhubaneswar ",18-Oct-2025 11:30 AM ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid as indicated as Section-1 of RFP.,1.0,ICICI BANK,EIC-CIVIL,C.E. (B) - 26 / 2025-26,2025_EICCL_119157_1,Yes,National Competitive Bid,Turn-key,Works,2.0,No,No,Online,No,No,No,09-Oct-2025 06:55 PM,21-Nov-2025 11:30 AM,09-Oct-2025 06:55 PM,15-Nov-2025 05:30 PM,NA ,NA ,09-Oct-2025 06:55 PM,15-Nov-2025 05:30 PM,02-Feb-2026 04:00 PM,"Chief Engineer (Buildings-I), Odisha, Bhubaneswar.","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.","10,000",0.0,Nil,Nil,No,"51,84,000",Yes,fixed,,Nil,Nil,AOC,26-May-2026,"INR 440,640,001",730.0,Priyabrata Samantara,26-May-2026 07:06 PM,AOC_Rajbhawan.pdf (2642.00 KB),AOC,1.0,3189970.0,ACHARYA BROTHERS CONSTRUCTION PVT LTD,15-Nov-2025 05:18 PM,Rejected-Technical,Disqualified,31-Jan-2026 06:02 PM,"Er Satyabrata Behera EIC (Civil-cum-Roads), Odisha",Internal,Er P Samantara CEB I Sri N Barik Comptroller Lok Bhawan Sri S Khamar OSD to Governor Er M K Mahanada CCE Central Circle Er J Behera Addl CE PH Circle Er B Mishra Dy Secy Works Er N C Naik Smt A Samal,Ashok Kumar Lenka,31-Jan-2026 06:02 PM,02-Feb-2026 04:00 PM,techsummary_555178.pdf (657.31 KB),Finance,Opening,Priyabrata Samantara,10-Feb-2026 03:35 PM,,BOQ Comparative Chart,Technical,4 Nos. Bidders received,Smita Sahoo,21-Nov-2025 02:04 PM,,EIC-CIVIL,2025_EICCL_119157_1,C.E. (B) - 26 / 2025-26,"Construction of 96 Nos. E-type Flat Quarters in 4 Blocks (E1, E2, E3, E4) and 48 Nos. F-type Flat Quarters in 2 Blocks (F1, F2) in the Residential Colony of Raj Bhavan, Bhubaneswar (Stilt plus 6) for 2025-26 on Turnkey Basis.",Sri S K Singh Principal Secretary to Govt Works Dept Odisha,Internal,Sri S Behera EIC Civil cum Roads Sri P Samantara CE Buildings I Sri L Tudu Joint Secy Finance Dept Sri JAR Panda Under Secy Law Dept Sr R Mahapatra FA cum Special Secy Works,Priyabrata Samantara,30-Mar-2026 03:54 PM,finsummary_555178.pdf (470.52 KB),1.0,3193961.0,DILLIP CONSTRUCTIONS PRIVATE LIMITED,INR,"440,640,001",AOC
2.0,3RD CORRIGENDUM,Other,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security and cost of Bid documents online mode.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,3123298.0,B.C.BHUYAN CONSTRUCTION PVT LTD,15-Nov-2025 03:47 PM,Rejected-Finance,L3,30-Mar-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification Information and supporting documents as per Section-1 of RFP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,3193961.0,DILLIP CONSTRUCTIONS PRIVATE LIMITED,15-Nov-2025 04:07 PM,Accepted-AOC,L1,26-May-2026 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates Undertakings, Affidavit as per Section-2 of RFP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4.0,3222049.0,DIVERSIFIED ENERGY SOLUTIONS PRIVATE LIMITED,15-Nov-2025 04:28 PM,Rejected-AOC,L2,26-May-2026 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scope of Work as Section 8 of RFP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others Document as per RFP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Quoted Lumpsum Price BoQ with Bidder Name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
