S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3452659.0,SPAN INFRA BUILDERS PVT. LTD,INR,"164,412,330",Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_127560_1,30/OPHWC/2025-26,"Construction for Development of Blue Flag Beach at Paradeep, Jagatsinghpur",Technical,4 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,15-Apr-2026 10:54 AM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,21-May-2026 05:39 PM,finsummary_586194.pdf (422.67 KB),AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,28-Apr-2026 05:59 PM,29-Apr-2026 10:30 AM,techsummary_586194.pdf (337.90 KB),Finance,Financial bid opened,MONALISHA PADHY,29-Apr-2026 11:08 AM,,BOQ Comparative Chart,21-May-2026,"INR 164,412,330",450.0,Bikram Keshari Malla,21-May-2026 05:42 PM,PARADEEP.pdf (385.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 15.05.2026,1,3453202,BIDYADHAR SWAIN,13-Apr-2026 03:43 PM,Rejected-Technical,Non submission of valid MOU for bamboo structural work as per DTCN Schedule L.,28-Apr-2026 05:59 PM,AOC,"Construction for Development of Blue Flag Beach at Paradeep, Jagatsinghpur",Building Work,Please refer Tender documents. ,NA ,"16,79,39,050",Civil Works - Buildings,NA ,Tender,90.0,450.0,Jagatsinghpur,751022.0,OPHWC BHUBANESWAR ,AT OPHWC CORPORATE OFFICE BHUBANESWAR ,07-Apr-2026 11:30 AM ,OPHWC BHUBANESWAR,No ,No,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,30/OPHWC/2025-26,2026_OSPHW_127560_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"16,79,400",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",25-Mar-2026 06:55 PM,15-Apr-2026 10:30 AM,25-Mar-2026 06:55 PM,13-Apr-2026 05:00 PM,25-Mar-2026 06:55 PM ,04-Apr-2026 05:00 PM ,25-Mar-2026 06:55 PM,13-Apr-2026 05:00 PM,29-Apr-2026 10:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3452659,SPAN INFRA BUILDERS PVT. LTD,10-Apr-2026 04:23 PM,Accepted-AOC,QUALIFIED BIDDER,21-May-2026 05:42 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3452937,VEE JAY ENGINEERS,13-Apr-2026 12:24 PM,Rejected-Finance,DUE TO L2 BIDDER,21-May-2026 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3451691,Y B CONSTRUCTIONS PRIVATE LIMITED,10-Apr-2026 12:59 PM,Rejected-Technical,Non submission of valid MOU for bamboo structural work as per DTCN Schedule L.,28-Apr-2026 05:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
