S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3367027.0,KABITA PRADHAN,INR,"1,035,818.16",Finance,onstruction of Elephant proof trench (EPT) 2 K.M at Rambhadevi RF under Deogarh Range under Deogarh Forest Division for the year 2025-2,Kamakshya Prasad Mishra,27-May-2026 12:29 PM,finance_575475.pdf,BOQ Comparative Chart,Swadhinata Sahani,Internal,,Kamakshya Prasad Mishra,27-May-2026 12:43 PM,finsummary_575475.pdf (462.64 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Deogarh,2026_DFODE_124495_1,dfodghfeandcc06,Construction of Elephant proof trench (EPT) 2 K.M at Rambhadevi RF under Deogarh Range under Deogarh Forest Division for the year 2025-2,Swadhinata Sahani,Internal,,Kamakshya Prasad Mishra,27-May-2026 12:33 PM,techsummary_575475.pdf (683.50 KB),27-May-2026,"INR 1,035,818.16",60.0,Kamakshya Prasad Mishra,27-May-2026 12:50 PM,eptranbhadevirf.pdf (463.00 KB),onstruction of Elephant proof trench (EPT) 2 K.M at Rambhadevi RF under Deogarh Range under Deogarh Forest Division for the year 2025-2,1,3361516,HL ENGINEERING WORKS,20-Jan-2026 03:38 PM,Rejected-Finance,Rejcted,27-May-2026 12:43 PM,AOC,"14,287",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,"6,000",Nil,Nil,No,Construction of Elephant proof trench (EPT) 2 K.M at Rambhadevi RF under Deogarh Range under Deogarh Forest Division for the year 2025-2,Construction of Elephant proof trench (EPT) 2 K.M at Rambhadevi RF under Deogarh Range under Deogarh Forest Division for the year 2025-2,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,60.0,Construction of Elephant proof trench (EPT) 2 K.M,768108.0,NA ,NA ,NA ,DFO Deogarh,No ,No,DFO Deogarh,DFO Deogarg,13-Jan-2026 11:00 AM,28-Jan-2026 11:00 AM,13-Jan-2026 11:00 AM,27-Jan-2026 05:00 PM,13-Jan-2026 11:00 AM ,27-Jan-2026 05:00 PM ,13-Jan-2026 11:00 AM,27-Jan-2026 05:00 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Deogarh,dfodghfeandcc06,2026_DFODE_124495_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3367027,KABITA PRADHAN,26-Jan-2026 10:42 PM,Accepted-AOC,REJECTED,27-May-2026 12:50 PM,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3366184,PRAKASH RUDRA SINGH,26-Jan-2026 03:17 PM,Rejected-AOC,ACCPTED,27-May-2026 12:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3367115,SURENDRA BAGH,27-Jan-2026 11:45 AM,Rejected-Finance,Rejcted,27-May-2026 12:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3364843,SURENDRA NARAYAN MISHRA,24-Jan-2026 04:42 PM,Rejected-Finance,Rejcted,27-May-2026 12:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
